STATE,EESTATU,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,725,4779736,5730,15.1682,126.5271
Alabama,Salary Union,5,4779736,5730,0.1046,0.8726
Alabama,Salary Other,266,4779736,5730,5.5652,46.4223
Alabama,Hourly Non-union,51,4779736,5730,1.067,8.9005
Alabama,Hourly Union,6,4779736,5730,0.1255,1.0471
Alabama,Hourly Other,29,4779736,5730,0.6067,5.0611
Alabama,Non-union,8,4779736,5730,0.1674,1.3962
Alabama,Union,15,4779736,5730,0.3138,2.6178
Alabama,Unknown,49,4779736,5730,1.0252,8.5515
Alaska,Salary Non-union,53,710231,257,7.4624,206.2257
Alaska,Salary Other,1,710231,257,0.1408,3.8911
Alaska,Hourly Non-union,1,710231,257,0.1408,3.8911
Alaska,Hourly Union,1,710231,257,0.1408,3.8911
Alaska,Hourly Other,1,710231,257,0.1408,3.8911
Alaska,Unknown,1,710231,257,0.1408,3.8911
Alaska,Salary Union,0,710231,257,0,0
Alaska,Non-union,0,710231,257,0,0
Alaska,Union,0,710231,257,0,0
Arizona,Salary Non-union,992,6392017,7456,15.5194,133.0472
Arizona,Salary Union,8,6392017,7456,0.1252,1.073
Arizona,Salary Other,127,6392017,7456,1.9869,17.0333
Arizona,Hourly Non-union,24,6392017,7456,0.3755,3.2189
Arizona,Hourly Union,40,6392017,7456,0.6258,5.3648
Arizona,Hourly Other,36,6392017,7456,0.5632,4.8283
Arizona,Non-union,19,6392017,7456,0.2972,2.5483
Arizona,Union,7,6392017,7456,0.1095,0.9388
Arizona,Unknown,99,6392017,7456,1.5488,13.2779
Arkansas,Salary Non-union,305,2915918,2052,10.4598,148.6355
Arkansas,Salary Union,3,2915918,2052,0.1029,1.462
Arkansas,Salary Other,56,2915918,2052,1.9205,27.2904
Arkansas,Hourly Non-union,13,2915918,2052,0.4458,6.3353
Arkansas,Hourly Union,12,2915918,2052,0.4115,5.848
Arkansas,Hourly Other,9,2915918,2052,0.3087,4.386
Arkansas,Non-union,5,2915918,2052,0.1715,2.4366
Arkansas,Union,3,2915918,2052,0.1029,1.462
Arkansas,Unknown,29,2915918,2052,0.9945,14.1326
California,Salary Non-union,4896,37253956,40228,13.1422,121.7063
California,Salary Union,53,37253956,40228,0.1423,1.3175
California,Salary Other,324,37253956,40228,0.8697,8.0541
California,Hourly Non-union,61,37253956,40228,0.1637,1.5164
California,Hourly Union,1898,37253956,40228,5.0948,47.1811
California,Hourly Other,81,37253956,40228,0.2174,2.0135
California,Non-union,33,37253956,40228,0.0886,0.8203
California,Union,19,37253956,40228,0.051,0.4723
California,Unknown,239,37253956,40228,0.6415,5.9411
Colorado,Salary Non-union,313,5029196,3198,6.2237,97.8737
Colorado,Salary Union,13,5029196,3198,0.2585,4.065
Colorado,Salary Other,52,5029196,3198,1.034,16.2602
Colorado,Hourly Non-union,7,5029196,3198,0.1392,2.1889
Colorado,Hourly Union,14,5029196,3198,0.2784,4.3777
Colorado,Hourly Other,21,5029196,3198,0.4176,6.5666
Colorado,Non-union,4,5029196,3198,0.0795,1.2508
Colorado,Union,3,5029196,3198,0.0597,0.9381
Colorado,Unknown,21,5029196,3198,0.4176,6.5666
Connecticut,Salary Non-union,402,3574097,3431,11.2476,117.167
Connecticut,Salary Union,2,3574097,3431,0.056,0.5829
Connecticut,Salary Other,61,3574097,3431,1.7067,17.7791
Connecticut,Hourly Non-union,5,3574097,3431,0.1399,1.4573
Connecticut,Hourly Union,5,3574097,3431,0.1399,1.4573
Connecticut,Hourly Other,25,3574097,3431,0.6995,7.2865
Connecticut,Non-union,10,3574097,3431,0.2798,2.9146
Connecticut,Union,9,3574097,3431,0.2518,2.6231
Connecticut,Unknown,37,3574097,3431,1.0352,10.784
Delaware,Salary Non-union,230,897934,2088,25.6144,110.1533
Delaware,Salary Union,3,897934,2088,0.3341,1.4368
Delaware,Salary Other,127,897934,2088,14.1436,60.8238
Delaware,Hourly Non-union,18,897934,2088,2.0046,8.6207
Delaware,Hourly Union,3,897934,2088,0.3341,1.4368
Delaware,Hourly Other,6,897934,2088,0.6682,2.8736
Delaware,Non-union,6,897934,2088,0.6682,2.8736
Delaware,Union,13,897934,2088,1.4478,6.2261
Delaware,Unknown,14,897934,2088,1.5591,6.705
Florida,Salary Non-union,1723,18801310,14966,9.1643,115.1276
Florida,Salary Union,66,18801310,14966,0.351,4.41
Florida,Salary Other,478,18801310,14966,2.5424,31.9391
Florida,Hourly Non-union,91,18801310,14966,0.484,6.0804
Florida,Hourly Union,19,18801310,14966,0.1011,1.2695
Florida,Hourly Other,60,18801310,14966,0.3191,4.0091
Florida,Non-union,57,18801310,14966,0.3032,3.8086
Florida,Union,19,18801310,14966,0.1011,1.2695
Florida,Unknown,164,18801310,14966,0.8723,10.9582
Georgia,Salary Non-union,3545,9687653,22416,36.593,158.146
Georgia,Salary Union,28,9687653,22416,0.289,1.2491
Georgia,Salary Other,1022,9687653,22416,10.5495,45.5924
Georgia,Hourly Non-union,62,9687653,22416,0.64,2.7659
Georgia,Hourly Union,11,9687653,22416,0.1135,0.4907
Georgia,Hourly Other,79,9687653,22416,0.8155,3.5243
Georgia,Non-union,20,9687653,22416,0.2064,0.8922
Georgia,Union,23,9687653,22416,0.2374,1.0261
Georgia,Unknown,155,9687653,22416,1.6,6.9147
Hawaii,Salary Non-union,6,1360301,85,0.4411,70.5882
Hawaii,Salary Union,1,1360301,85,0.0735,11.7647
Hawaii,Salary Other,7,1360301,85,0.5146,82.3529
Hawaii,Hourly Union,1,1360301,85,0.0735,11.7647
Hawaii,Hourly Non-union,0,1360301,85,0,0
Hawaii,Hourly Other,0,1360301,85,0,0
Hawaii,Non-union,0,1360301,85,0,0
Hawaii,Union,0,1360301,85,0,0
Hawaii,Unknown,0,1360301,85,0,0
Idaho,Salary Non-union,59,1567582,569,3.7638,103.6907
Idaho,Salary Union,2,1567582,569,0.1276,3.5149
Idaho,Salary Other,6,1567582,569,0.3828,10.5448
Idaho,Hourly Union,11,1567582,569,0.7017,19.3322
Idaho,Hourly Other,4,1567582,569,0.2552,7.0299
Idaho,Unknown,3,1567582,569,0.1914,5.2724
Idaho,Hourly Non-union,0,1567582,569,0,0
Idaho,Non-union,0,1567582,569,0,0
Idaho,Union,0,1567582,569,0,0
Illinois,Salary Non-union,1098,12830632,10670,8.5576,102.9053
Illinois,Salary Union,34,12830632,10670,0.265,3.1865
Illinois,Salary Other,514,12830632,10670,4.006,48.1724
Illinois,Hourly Non-union,89,12830632,10670,0.6937,8.3411
Illinois,Hourly Union,4,12830632,10670,0.0312,0.3749
Illinois,Hourly Other,49,12830632,10670,0.3819,4.5923
Illinois,Non-union,36,12830632,10670,0.2806,3.3739
Illinois,Union,30,12830632,10670,0.2338,2.8116
Illinois,Unknown,163,12830632,10670,1.2704,15.2765
Indiana,Salary Non-union,741,6483802,7465,11.4285,99.2632
Indiana,Salary Union,33,6483802,7465,0.509,4.4206
Indiana,Salary Other,592,6483802,7465,9.1304,79.3034
Indiana,Hourly Non-union,166,6483802,7465,2.5602,22.2371
Indiana,Hourly Union,6,6483802,7465,0.0925,0.8038
Indiana,Hourly Other,23,6483802,7465,0.3547,3.081
Indiana,Non-union,29,6483802,7465,0.4473,3.8848
Indiana,Union,66,6483802,7465,1.0179,8.8413
Indiana,Unknown,61,6483802,7465,0.9408,8.1715
Iowa,Salary Non-union,218,3046355,1738,7.1561,125.4315
Iowa,Salary Union,2,3046355,1738,0.0657,1.1507
Iowa,Salary Other,43,3046355,1738,1.4115,24.7411
Iowa,Hourly Non-union,2,3046355,1738,0.0657,1.1507
Iowa,Hourly Union,2,3046355,1738,0.0657,1.1507
Iowa,Hourly Other,16,3046355,1738,0.5252,9.206
Iowa,Non-union,4,3046355,1738,0.1313,2.3015
Iowa,Unknown,21,3046355,1738,0.6893,12.0829
Iowa,Union,0,3046355,1738,0,0
Kansas,Salary Non-union,254,2853118,2026,8.9025,125.3702
Kansas,Salary Union,8,2853118,2026,0.2804,3.9487
Kansas,Salary Other,74,2853118,2026,2.5937,36.5252
Kansas,Hourly Non-union,10,2853118,2026,0.3505,4.9358
Kansas,Hourly Union,5,2853118,2026,0.1752,2.4679
Kansas,Hourly Other,9,2853118,2026,0.3154,4.4423
Kansas,Non-union,3,2853118,2026,0.1051,1.4808
Kansas,Union,2,2853118,2026,0.0701,0.9872
Kansas,Unknown,27,2853118,2026,0.9463,13.3268
Kentucky,Salary Non-union,416,4339367,3823,9.5867,108.8151
Kentucky,Salary Union,10,4339367,3823,0.2304,2.6157
Kentucky,Salary Other,196,4339367,3823,4.5168,51.2686
Kentucky,Hourly Non-union,37,4339367,3823,0.8527,9.6783
Kentucky,Hourly Union,6,4339367,3823,0.1383,1.5694
Kentucky,Hourly Other,16,4339367,3823,0.36870000000000003,4.1852
Kentucky,Non-union,6,4339367,3823,0.1383,1.5694
Kentucky,Union,19,4339367,3823,0.4379,4.9699
Kentucky,Unknown,15,4339367,3823,0.3457,3.9236
Louisiana,Salary Non-union,350,4533372,2935,7.7205,119.2504
Louisiana,Salary Union,10,4533372,2935,0.2206,3.4072
Louisiana,Salary Other,114,4533372,2935,2.5147,38.8416
Louisiana,Hourly Non-union,25,4533372,2935,0.5515,8.5179
Louisiana,Hourly Union,8,4533372,2935,0.1765,2.7257
Louisiana,Hourly Other,9,4533372,2935,0.1985,3.0664
Louisiana,Non-union,4,4533372,2935,0.0882,1.3629
Louisiana,Union,6,4533372,2935,0.1324,2.0443
Louisiana,Unknown,37,4533372,2935,0.8162,12.6065
Maine,Salary Non-union,49,1328361,548,3.6888,89.4161
Maine,Salary Other,10,1328361,548,0.7528,18.2482
Maine,Hourly Union,2,1328361,548,0.1506,3.6496
Maine,Hourly Other,2,1328361,548,0.1506,3.6496
Maine,Unknown,5,1328361,548,0.3764,9.1241
Maine,Salary Union,0,1328361,548,0,0
