STATE,EESTATU,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,1737,11536504,51710,15.0566,33.5912
Ohio,Salary Union,82,11536504,51710,0.7108,1.5858
Ohio,Salary Other,1608,11536504,51710,13.9384,31.0965
Ohio,Hourly Non-union,297,11536504,51710,2.5744,5.7436
Ohio,Hourly Union,6,11536504,51710,0.052,0.116
Ohio,Hourly Other,72,11536504,51710,0.6241,1.3924
Ohio,Non-union,13,11536504,51710,0.1127,0.2514
Ohio,Union,142,11536504,51710,1.2309,2.7461
Ohio,Unknown,216,11536504,51710,1.8723,4.1771
Arkansas,Salary Non-union,127,2915918,6972,4.3554,18.2157
Arkansas,Salary Union,5,2915918,6972,0.1715,0.7172
Arkansas,Salary Other,42,2915918,6972,1.4404,6.0241
Arkansas,Hourly Non-union,7,2915918,6972,0.2401,1.004
Arkansas,Hourly Union,9,2915918,6972,0.3087,1.2909
Arkansas,Hourly Other,5,2915918,6972,0.1715,0.7172
Arkansas,Non-union,3,2915918,6972,0.1029,0.4303
Arkansas,Union,2,2915918,6972,0.0686,0.2869
Arkansas,Unknown,18,2915918,6972,0.6173,2.5818
New York,Salary Non-union,947,19378102,38153,4.887,24.8211
New York,Salary Union,33,19378102,38153,0.1703,0.8649
New York,Salary Other,591,19378102,38153,3.0498,15.4903
New York,Hourly Non-union,84,19378102,38153,0.4335,2.2017
New York,Hourly Union,7,19378102,38153,0.0361,0.1835
New York,Hourly Other,40,19378102,38153,0.2064,1.0484
New York,Non-union,20,19378102,38153,0.1032,0.5242
New York,Union,19,19378102,38153,0.098,0.498
New York,Unknown,92,19378102,38153,0.4748,2.4113
Pennsylvania,Salary Non-union,909,12702379,29461,7.1561,30.8543
Pennsylvania,Salary Union,32,12702379,29461,0.2519,1.0862
Pennsylvania,Salary Other,340,12702379,29461,2.6767,11.5407
Pennsylvania,Hourly Non-union,36,12702379,29461,0.2834,1.222
Pennsylvania,Hourly Union,9,12702379,29461,0.0709,0.3055
Pennsylvania,Hourly Other,29,12702379,29461,0.2283,0.9844
Pennsylvania,Non-union,23,12702379,29461,0.1811,0.7807
Pennsylvania,Union,14,12702379,29461,0.1102,0.4752
Pennsylvania,Unknown,85,12702379,29461,0.6692,2.8852
Georgia,Salary Non-union,2163,9687653,68782,22.3274,31.4472
Georgia,Salary Union,24,9687653,68782,0.2477,0.3489
Georgia,Salary Other,665,9687653,68782,6.8644,9.6682
Georgia,Hourly Non-union,52,9687653,68782,0.5368,0.756
Georgia,Hourly Union,11,9687653,68782,0.1135,0.1599
Georgia,Hourly Other,32,9687653,68782,0.3303,0.4652
Georgia,Non-union,14,9687653,68782,0.1445,0.2035
Georgia,Union,21,9687653,68782,0.2168,0.3053
Georgia,Unknown,72,9687653,68782,0.7432,1.0468
Indiana,Salary Non-union,543,6483802,20266,8.3747,26.7936
Indiana,Salary Union,33,6483802,20266,0.509,1.6283
Indiana,Salary Other,712,6483802,20266,10.9812,35.1327
Indiana,Hourly Non-union,148,6483802,20266,2.2826,7.3029
Indiana,Hourly Union,3,6483802,20266,0.0463,0.148
Indiana,Hourly Other,15,6483802,20266,0.2313,0.7402
Indiana,Non-union,9,6483802,20266,0.1388,0.4441
Indiana,Union,55,6483802,20266,0.8483,2.7139
Indiana,Unknown,37,6483802,20266,0.5707,1.8257
Illinois,Salary Non-union,1138,12830632,36586,8.8694,31.1048
Illinois,Salary Union,50,12830632,36586,0.3897,1.3666
Illinois,Salary Other,575,12830632,36586,4.4815,15.7164
Illinois,Hourly Non-union,101,12830632,36586,0.7872,2.7606
Illinois,Hourly Union,5,12830632,36586,0.039,0.1367
Illinois,Hourly Other,29,12830632,36586,0.226,0.7927
Illinois,Non-union,26,12830632,36586,0.2026,0.7107
Illinois,Union,30,12830632,36586,0.2338,0.82
Illinois,Unknown,123,12830632,36586,0.9586,3.3619
Louisiana,Salary Non-union,262,4533372,9513,5.7794,27.5413
Louisiana,Salary Union,12,4533372,9513,0.2647,1.2614
Louisiana,Salary Other,130,4533372,9513,2.8676,13.6655
Louisiana,Hourly Non-union,13,4533372,9513,0.2868,1.3666
Louisiana,Hourly Union,2,4533372,9513,0.0441,0.2102
Louisiana,Hourly Other,3,4533372,9513,0.0662,0.3154
Louisiana,Non-union,1,4533372,9513,0.0221,0.1051
Louisiana,Union,7,4533372,9513,0.1544,0.7358
Louisiana,Unknown,16,4533372,9513,0.3529,1.6819
Maryland,Salary Non-union,447,5773552,13274,7.7422,33.6749
Maryland,Salary Union,12,5773552,13274,0.2078,0.904
Maryland,Salary Other,220,5773552,13274,3.8105,16.5738
Maryland,Hourly Non-union,42,5773552,13274,0.7275,3.1641
Maryland,Hourly Union,1,5773552,13274,0.0173,0.0753
Maryland,Hourly Other,14,5773552,13274,0.2425,1.0547
Maryland,Non-union,15,5773552,13274,0.2598,1.13
Maryland,Union,14,5773552,13274,0.2425,1.0547
Maryland,Unknown,30,5773552,13274,0.5196,2.2601
Texas,Salary Non-union,2080,25145561,86419,8.2718,24.0688
Texas,Salary Union,85,25145561,86419,0.338,0.9836
Texas,Salary Other,483,25145561,86419,1.9208,5.589
Texas,Hourly Non-union,35,25145561,86419,0.1392,0.405
Texas,Hourly Union,35,25145561,86419,0.1392,0.405
Texas,Hourly Other,56,25145561,86419,0.2227,0.648
Texas,Non-union,32,25145561,86419,0.1273,0.3703
Texas,Union,22,25145561,86419,0.0875,0.2546
Texas,Unknown,185,25145561,86419,0.7357,2.1407
Florida,Salary Non-union,1528,18801310,46533,8.1271,32.8369
Florida,Salary Union,80,18801310,46533,0.4255,1.7192
Florida,Salary Other,603,18801310,46533,3.2072,12.9585
Florida,Hourly Non-union,107,18801310,46533,0.5691,2.2994
Florida,Hourly Union,18,18801310,46533,0.0957,0.3868
Florida,Hourly Other,42,18801310,46533,0.2234,0.9026
Florida,Non-union,24,18801310,46533,0.1277,0.5158
Florida,Union,34,18801310,46533,0.1808,0.7307
Florida,Unknown,106,18801310,46533,0.5638,2.278
Oklahoma,Salary Non-union,163,3751351,8554,4.3451,19.0554
Oklahoma,Salary Union,4,3751351,8554,0.1066,0.4676
Oklahoma,Salary Other,140,3751351,8554,3.732,16.3666
Oklahoma,Hourly Non-union,21,3751351,8554,0.5598,2.455
Oklahoma,Hourly Union,5,3751351,8554,0.1333,0.5845
Oklahoma,Hourly Other,7,3751351,8554,0.1866,0.8183
Oklahoma,Non-union,1,3751351,8554,0.0267,0.1169
Oklahoma,Union,5,3751351,8554,0.1333,0.5845
Oklahoma,Unknown,12,3751351,8554,0.3199,1.4029
Iowa,Salary Non-union,180,3046355,7809,5.9087,23.0503
Iowa,Salary Union,4,3046355,7809,0.1313,0.5122
Iowa,Salary Other,36,3046355,7809,1.1817,4.6101
Iowa,Hourly Non-union,3,3046355,7809,0.0985,0.3842
Iowa,Hourly Union,4,3046355,7809,0.1313,0.5122
Iowa,Hourly Other,7,3046355,7809,0.2298,0.8964
Iowa,Non-union,1,3046355,7809,0.0328,0.1281
Iowa,Union,1,3046355,7809,0.0328,0.1281
