STATE,INDSTRY,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,"Oil & Gas Extraction, Mining",28,11536504,51710,0.2427,0.5415
Ohio,"Manufacturing, Durable Goods",2499,11536504,51710,21.6617,48.3272
Ohio,"Manufacturing, Nondurable Goods",181,11536504,51710,1.5689,3.5003
Ohio,"Transportation, Communications, Utilities",375,11536504,51710,3.2506,7.252
Ohio,Retail Trade,114,11536504,51710,0.9882,2.2046
Ohio,"Finance, Insurance, Real Estate",238,11536504,51710,2.063,4.6026
Ohio,Services,484,11536504,51710,4.1954,9.3599
Ohio,Wholesale,3,11536504,51710,0.026,0.058
Arkansas,"Oil & Gas Extraction, Mining",2,2915918,6972,0.0686,0.2869
Arkansas,"Manufacturing, Durable Goods",66,2915918,6972,2.2634,9.4664
Arkansas,"Manufacturing, Nondurable Goods",57,2915918,6972,1.9548,8.1756
Arkansas,"Transportation, Communications, Utilities",48,2915918,6972,1.6461,6.8847
Arkansas,Retail Trade,10,2915918,6972,0.3429,1.4343
Arkansas,"Finance, Insurance, Real Estate",14,2915918,6972,0.4801,2.008
Arkansas,Services,11,2915918,6972,0.3772,1.5777
Arkansas,Wholesale,3,2915918,6972,0.1029,0.4303
New York,"Oil & Gas Extraction, Mining",2,19378102,38153,0.0103,0.0524
New York,"Manufacturing, Durable Goods",615,19378102,38153,3.1737,16.1193
New York,"Manufacturing, Nondurable Goods",90,19378102,38153,0.4644,2.3589
New York,"Transportation, Communications, Utilities",512,19378102,38153,2.6422,13.4197
New York,Retail Trade,75,19378102,38153,0.387,1.9658
New York,"Finance, Insurance, Real Estate",389,19378102,38153,2.0074,10.1958
New York,Services,109,19378102,38153,0.5625,2.8569
New York,Wholesale,1,19378102,38153,0.0052,0.0262
Pennsylvania,"Oil & Gas Extraction, Mining",5,12702379,29461,0.0394,0.1697
Pennsylvania,"Manufacturing, Durable Goods",369,12702379,29461,2.905,12.525
Pennsylvania,"Manufacturing, Nondurable Goods",218,12702379,29461,1.7162,7.3996
Pennsylvania,"Transportation, Communications, Utilities",462,12702379,29461,3.6371000000000002,15.6817
Pennsylvania,Retail Trade,85,12702379,29461,0.6692,2.8852
Pennsylvania,"Finance, Insurance, Real Estate",185,12702379,29461,1.4564,6.2795
Pennsylvania,Services,92,12702379,29461,0.7243,3.1228
Pennsylvania,Construction,1,12702379,29461,0.0079,0.0339
Pennsylvania,Wholesale,8,12702379,29461,0.063,0.2715
Georgia,"Oil & Gas Extraction, Mining",4,9687653,68782,0.0413,0.0582
