STATE,EECLASS,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,90,11536504,51710,0.7801,1.7405
Ohio,Salary Union,5,11536504,51710,0.0433,0.0967
Ohio,Salary Other,30,11536504,51710,0.26,0.5802
Ohio,Hourly Non-union,77,11536504,51710,0.6674,1.4891
Ohio,Hourly Union,295,11536504,51710,2.5571,5.7049
Ohio,Hourly Other,19,11536504,51710,0.1647,0.3674
Ohio,Non-union,31,11536504,51710,0.2687,0.5995
Ohio,Union,89,11536504,51710,0.7715,1.7211
Ohio,Unknown,29,11536504,51710,0.2514,0.5608
Arkansas,Salary Non-union,16,2915918,6972,0.5487,2.2949
Arkansas,Salary Other,3,2915918,6972,0.1029,0.4303
Arkansas,Hourly Non-union,24,2915918,6972,0.8231,3.4423
Arkansas,Hourly Union,7,2915918,6972,0.2401,1.004
Arkansas,Hourly Other,1,2915918,6972,0.0343,0.1434
Arkansas,Non-union,4,2915918,6972,0.1372,0.5737
Arkansas,Unknown,6,2915918,6972,0.2058,0.8606
New York,Salary Non-union,105,19378102,38153,0.5418,2.7521
New York,Salary Union,3,19378102,38153,0.0155,0.0786
New York,Salary Other,31,19378102,38153,0.16,0.8125
New York,Hourly Non-union,47,19378102,38153,0.2425,1.2319
New York,Hourly Union,176,19378102,38153,0.9082,4.613
New York,Hourly Other,13,19378102,38153,0.0671,0.3407
New York,Non-union,34,19378102,38153,0.1755,0.8911
New York,Union,18,19378102,38153,0.0929,0.4718
New York,Unknown,58,19378102,38153,0.2993,1.5202
Pennsylvania,Salary Non-union,107,12702379,29461,0.8424,3.6319
Pennsylvania,Salary Union,3,12702379,29461,0.0236,0.1018
Pennsylvania,Salary Other,17,12702379,29461,0.1338,0.577
Pennsylvania,Hourly Non-union,79,12702379,29461,0.6219,2.6815
Pennsylvania,Hourly Union,98,12702379,29461,0.7715,3.3264
Pennsylvania,Hourly Other,7,12702379,29461,0.0551,0.2376
Pennsylvania,Non-union,40,12702379,29461,0.3149,1.3577
Pennsylvania,Union,22,12702379,29461,0.1732,0.7467
Pennsylvania,Unknown,56,12702379,29461,0.4409,1.9008
Georgia,Salary Non-union,104,9687653,68782,1.0735,1.512
Georgia,Salary Other,17,9687653,68782,0.1755,0.2472
Georgia,Hourly Non-union,63,9687653,68782,0.6503,0.9159
Georgia,Hourly Union,74,9687653,68782,0.7639,1.0759
Georgia,Hourly Other,7,9687653,68782,0.0723,0.1018
Georgia,Non-union,358,9687653,68782,3.6954,5.2049
Georgia,Union,10,9687653,68782,0.1032,0.1454
Georgia,Unknown,57,9687653,68782,0.5884,0.8287
Indiana,Salary Non-union,45,6483802,20266,0.694,2.2205
Indiana,Salary Union,1,6483802,20266,0.0154,0.0493
Indiana,Salary Other,14,6483802,20266,0.2159,0.6908
Indiana,Hourly Non-union,50,6483802,20266,0.7712,2.4672
Indiana,Hourly Union,157,6483802,20266,2.4214,7.747
Indiana,Hourly Other,6,6483802,20266,0.0925,0.2961
Indiana,Non-union,20,6483802,20266,0.3085,0.9869
Indiana,Union,3,6483802,20266,0.0463,0.148
Indiana,Unknown,32,6483802,20266,0.4935,1.579
Illinois,Salary Non-union,86,12830632,36586,0.6703,2.3506
Illinois,Salary Union,4,12830632,36586,0.0312,0.1093
Illinois,Salary Other,21,12830632,36586,0.1637,0.574
Illinois,Hourly Non-union,68,12830632,36586,0.53,1.8586
Illinois,Hourly Union,88,12830632,36586,0.6859,2.4053
Illinois,Hourly Other,17,12830632,36586,0.1325,0.4647
Illinois,Non-union,48,12830632,36586,0.3741,1.312
Illinois,Union,19,12830632,36586,0.1481,0.5193
Illinois,Unknown,31,12830632,36586,0.2416,0.8473
Louisiana,Salary Non-union,20,4533372,9513,0.4412,2.1024
Louisiana,Salary Union,1,4533372,9513,0.0221,0.1051
Louisiana,Salary Other,10,4533372,9513,0.2206,1.0512
Louisiana,Hourly Non-union,8,4533372,9513,0.1765,0.841
Louisiana,Hourly Union,23,4533372,9513,0.5073,2.4177
Louisiana,Hourly Other,3,4533372,9513,0.0662,0.3154
Louisiana,Non-union,7,4533372,9513,0.1544,0.7358
Louisiana,Union,6,4533372,9513,0.1324,0.6307
Louisiana,Unknown,11,4533372,9513,0.2426,1.1563
Maryland,Salary Non-union,42,5773552,13274,0.7275,3.1641
Maryland,Salary Other,4,5773552,13274,0.0693,0.3013
Maryland,Hourly Non-union,29,5773552,13274,0.5023,2.1847
Maryland,Hourly Union,34,5773552,13274,0.5889,2.5614
Maryland,Non-union,15,5773552,13274,0.2598,1.13
Maryland,Union,17,5773552,13274,0.2944,1.2807
Maryland,Unknown,16,5773552,13274,0.2771,1.2054
Texas,Salary Non-union,204,25145561,86419,0.8113,2.3606
Texas,Salary Union,2,25145561,86419,0.008,0.0231
Texas,Salary Other,114,25145561,86419,0.4534,1.3192
Texas,Hourly Non-union,162,25145561,86419,0.6442,1.8746
Texas,Hourly Union,171,25145561,86419,0.68,1.9787
Texas,Hourly Other,51,25145561,86419,0.2028,0.5901
Texas,Non-union,65,25145561,86419,0.2585,0.7521
Texas,Union,21,25145561,86419,0.0835,0.243
Texas,Unknown,152,25145561,86419,0.6045,1.7589
Florida,Salary Non-union,164,18801310,46533,0.8723,3.5244
Florida,Salary Union,3,18801310,46533,0.016,0.0645
Florida,Salary Other,41,18801310,46533,0.2181,0.8811
Florida,Hourly Non-union,147,18801310,46533,0.7819,3.159
Florida,Hourly Union,168,18801310,46533,0.8936,3.6103
Florida,Hourly Other,25,18801310,46533,0.133,0.5373
Florida,Non-union,131,18801310,46533,0.6968,2.8152
Florida,Union,28,18801310,46533,0.1489,0.6017
Florida,Unknown,139,18801310,46533,0.7393,2.9871
Oklahoma,Salary Non-union,12,3751351,8554,0.3199,1.4029
Oklahoma,Salary Other,2,3751351,8554,0.0533,0.2338
Oklahoma,Hourly Non-union,15,3751351,8554,0.3999,1.7536
Oklahoma,Hourly Union,27,3751351,8554,0.7197,3.1564
Oklahoma,Non-union,3,3751351,8554,0.08,0.3507
Oklahoma,Unknown,2,3751351,8554,0.0533,0.2338
Iowa,Salary Non-union,16,3046355,7809,0.5252,2.0489
Iowa,Salary Union,3,3046355,7809,0.0985,0.3842
Iowa,Hourly Non-union,22,3046355,7809,0.7222,2.8173
Iowa,Hourly Union,23,3046355,7809,0.755,2.9453
Iowa,Hourly Other,4,3046355,7809,0.1313,0.5122
Iowa,Non-union,5,3046355,7809,0.1641,0.6403
Iowa,Unknown,12,3046355,7809,0.3939,1.5367
