STATE,INDSTRY,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,"Oil & Gas Extraction, Mining",12,11536504,51710,0.104,0.2321
Ohio,"Manufacturing, Durable Goods",502,11536504,51710,4.3514,9.708
Ohio,"Manufacturing, Nondurable Goods",57,11536504,51710,0.4941,1.1023
Ohio,"Transportation, Communications, Utilities",117,11536504,51710,1.0142,2.2626
Ohio,Retail Trade,45,11536504,51710,0.3901,0.8702
Ohio,"Finance, Insurance, Real Estate",112,11536504,51710,0.9708,2.1659
Ohio,Services,226,11536504,51710,1.959,4.3705
Ohio,Wholesale,3,11536504,51710,0.026,0.058
Arkansas,"Manufacturing, Durable Goods",22,2915918,6972,0.7545,3.1555
Arkansas,"Manufacturing, Nondurable Goods",24,2915918,6972,0.8231,3.4423
Arkansas,"Transportation, Communications, Utilities",24,2915918,6972,0.8231,3.4423
Arkansas,Retail Trade,1,2915918,6972,0.0343,0.1434
Arkansas,"Finance, Insurance, Real Estate",4,2915918,6972,0.1372,0.5737
Arkansas,Services,2,2915918,6972,0.0686,0.2869
Arkansas,Wholesale,1,2915918,6972,0.0343,0.1434
New York,"Manufacturing, Durable Goods",130,19378102,38153,0.6709,3.4073
New York,"Manufacturing, Nondurable Goods",32,19378102,38153,0.1651,0.8387
New York,"Transportation, Communications, Utilities",181,19378102,38153,0.934,4.7441
New York,Retail Trade,33,19378102,38153,0.1703,0.8649
New York,"Finance, Insurance, Real Estate",137,19378102,38153,0.707,3.5908
New York,Services,52,19378102,38153,0.2683,1.3629
New York,Wholesale,1,19378102,38153,0.0052,0.0262
Pennsylvania,"Oil & Gas Extraction, Mining",2,12702379,29461,0.0157,0.0679
Pennsylvania,"Manufacturing, Durable Goods",100,12702379,29461,0.7873,3.3943
Pennsylvania,"Manufacturing, Nondurable Goods",78,12702379,29461,0.6141,2.6476
Pennsylvania,"Transportation, Communications, Utilities",166,12702379,29461,1.3068,5.6346
Pennsylvania,Retail Trade,33,12702379,29461,0.2598,1.1201
Pennsylvania,"Finance, Insurance, Real Estate",86,12702379,29461,0.677,2.9191
Pennsylvania,Services,39,12702379,29461,0.307,1.3238
Pennsylvania,Wholesale,1,12702379,29461,0.0079,0.0339
Georgia,"Manufacturing, Durable Goods",87,9687653,68782,0.8981,1.2649
Georgia,"Manufacturing, Nondurable Goods",59,9687653,68782,0.609,0.8578
Georgia,"Transportation, Communications, Utilities",126,9687653,68782,1.3006,1.8319
Georgia,Retail Trade,27,9687653,68782,0.2787,0.3925
Georgia,"Finance, Insurance, Real Estate",40,9687653,68782,0.4129,0.5815
Georgia,Services,70,9687653,68782,0.7226,1.0177
Georgia,Wholesale,2,9687653,68782,0.0206,0.0291
Indiana,"Oil & Gas Extraction, Mining",2,6483802,20266,0.0308,0.0987
Indiana,"Manufacturing, Durable Goods",258,6483802,20266,3.9791,12.7307
Indiana,"Manufacturing, Nondurable Goods",27,6483802,20266,0.4164,1.3323
Indiana,"Transportation, Communications, Utilities",45,6483802,20266,0.694,2.2205
Indiana,Retail Trade,24,6483802,20266,0.3702,1.1842
Indiana,"Finance, Insurance, Real Estate",16,6483802,20266,0.2468,0.7895
Indiana,Services,27,6483802,20266,0.4164,1.3323
Indiana,Wholesale,5,6483802,20266,0.0771,0.2467
Illinois,"Oil & Gas Extraction, Mining",3,12830632,36586,0.0234,0.082
Illinois,"Manufacturing, Durable Goods",188,12830632,36586,1.4652,5.1386
Illinois,"Manufacturing, Nondurable Goods",73,12830632,36586,0.569,1.9953
Illinois,"Transportation, Communications, Utilities",160,12830632,36586,1.247,4.3733
Illinois,Retail Trade,44,12830632,36586,0.3429,1.2026
Illinois,"Finance, Insurance, Real Estate",138,12830632,36586,1.0756,3.7719
Illinois,Services,43,12830632,36586,0.3351,1.1753
Illinois,Wholesale,3,12830632,36586,0.0234,0.082
Louisiana,"Oil & Gas Extraction, Mining",16,4533372,9513,0.3529,1.6819
Louisiana,"Manufacturing, Durable Goods",45,4533372,9513,0.9926,4.7304
Louisiana,"Manufacturing, Nondurable Goods",16,4533372,9513,0.3529,1.6819
Louisiana,"Transportation, Communications, Utilities",30,4533372,9513,0.6618,3.1536
Louisiana,Retail Trade,3,4533372,9513,0.0662,0.3154
Louisiana,"Finance, Insurance, Real Estate",23,4533372,9513,0.5073,2.4177
Louisiana,Services,22,4533372,9513,0.4853,2.3126
Maryland,"Manufacturing, Durable Goods",59,5773552,13274,1.0219,4.4448
Maryland,"Manufacturing, Nondurable Goods",11,5773552,13274,0.1905,0.8287
Maryland,"Transportation, Communications, Utilities",102,5773552,13274,1.7667,7.6842
Maryland,Retail Trade,12,5773552,13274,0.2078,0.904
Maryland,"Finance, Insurance, Real Estate",36,5773552,13274,0.6235,2.7121
Maryland,Services,16,5773552,13274,0.2771,1.2054
Maryland,Wholesale,3,5773552,13274,0.052,0.226
Texas,"Oil & Gas Extraction, Mining",45,25145561,86419,0.179,0.5207
Texas,"Manufacturing, Durable Goods",203,25145561,86419,0.8073,2.349
Texas,"Manufacturing, Nondurable Goods",123,25145561,86419,0.4892,1.4233
Texas,"Transportation, Communications, Utilities",258,25145561,86419,1.026,2.9855
Texas,Retail Trade,89,25145561,86419,0.3539,1.0299
Texas,"Finance, Insurance, Real Estate",227,25145561,86419,0.9027,2.6267
Texas,Services,192,25145561,86419,0.7636,2.2217
Texas,Wholesale,5,25145561,86419,0.0199,0.0579
Florida,"Oil & Gas Extraction, Mining",1,18801310,46533,0.0053,0.0215
Florida,"Manufacturing, Durable Goods",156,18801310,46533,0.8297,3.3525
