Value,Correlation,Variable,Reference,Comparison
"Manufacturing, Durable Goods",0.5057,INDSTRY,depression,regional_enteritis
"Manufacturing, Nondurable Goods",0.4276,INDSTRY,depression,regional_enteritis
"Transportation, Communications, Utilities",0.4567,INDSTRY,depression,regional_enteritis
Retail Trade,0.4219,INDSTRY,depression,regional_enteritis
"Finance, Insurance, Real Estate",0.6703,INDSTRY,depression,regional_enteritis
Services,0.6851,INDSTRY,depression,regional_enteritis
Wholesale,0.2374,INDSTRY,depression,regional_enteritis
"Oil & Gas Extraction, Mining",0.3475,INDSTRY,depression,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,depression,regional_enteritis
Construction,0.452,INDSTRY,depression,regional_enteritis
Salary Non-union,0.5439,EECLASS,depression,regional_enteritis
Salary Union,0.452,EECLASS,depression,regional_enteritis
Salary Other,0.7148,EECLASS,depression,regional_enteritis
Hourly Non-union,0.3876,EECLASS,depression,regional_enteritis
Hourly Union,0.6615,EECLASS,depression,regional_enteritis
Hourly Other,0.325,EECLASS,depression,regional_enteritis
Non-union,0.3353,EECLASS,depression,regional_enteritis
Union,0.5842,EECLASS,depression,regional_enteritis
Unknown,0.4624,EECLASS,depression,regional_enteritis
Active Full Time,0.0089,EESTATU,depression,regional_enteritis
Active Part Time or Seasonal,0.1232,EESTATU,depression,regional_enteritis
Early Retiree,0.3129,EESTATU,depression,regional_enteritis
Medicare Eligible Retiree,0.4819,EESTATU,depression,regional_enteritis
Retiree (status unknown),0.3633,EESTATU,depression,regional_enteritis
COBRA Continuee,-0.0288,EESTATU,depression,regional_enteritis
Long Term Disability,0.4124,EESTATU,depression,regional_enteritis
Surviving Spouse/Depend.,0.4829,EESTATU,depression,regional_enteritis
Other/Unknown,0.3284,EESTATU,depression,regional_enteritis
"Manufacturing, Durable Goods",0.8551,INDSTRY,depression,alcohol_dependence
"Manufacturing, Nondurable Goods",0.64,INDSTRY,depression,alcohol_dependence
"Transportation, Communications, Utilities",0.7076,INDSTRY,depression,alcohol_dependence
Retail Trade,0.6984,INDSTRY,depression,alcohol_dependence
"Finance, Insurance, Real Estate",0.8394,INDSTRY,depression,alcohol_dependence
Services,0.7297,INDSTRY,depression,alcohol_dependence
Wholesale,0.4401,INDSTRY,depression,alcohol_dependence
"Oil & Gas Extraction, Mining",0.6901,INDSTRY,depression,alcohol_dependence
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,depression,alcohol_dependence
Construction,0.7179,INDSTRY,depression,alcohol_dependence
Salary Non-union,0.503,EECLASS,depression,alcohol_dependence
Salary Union,0.5946,EECLASS,depression,alcohol_dependence
Salary Other,0.4576,EECLASS,depression,alcohol_dependence
Hourly Non-union,0.7302,EECLASS,depression,alcohol_dependence
Hourly Union,0.8218,EECLASS,depression,alcohol_dependence
Hourly Other,0.6669,EECLASS,depression,alcohol_dependence
Non-union,0.766,EECLASS,depression,alcohol_dependence
Union,0.5788,EECLASS,depression,alcohol_dependence
Unknown,0.8231,EECLASS,depression,alcohol_dependence
Active Full Time,0.5064,EESTATU,depression,alcohol_dependence
Active Part Time or Seasonal,0.4197,EESTATU,depression,alcohol_dependence
Early Retiree,0.6253,EESTATU,depression,alcohol_dependence
Medicare Eligible Retiree,0.4271,EESTATU,depression,alcohol_dependence
Retiree (status unknown),0.5049,EESTATU,depression,alcohol_dependence
COBRA Continuee,0.323,EESTATU,depression,alcohol_dependence
Long Term Disability,0.4021,EESTATU,depression,alcohol_dependence
Surviving Spouse/Depend.,0.4027,EESTATU,depression,alcohol_dependence
Other/Unknown,0.4141,EESTATU,depression,alcohol_dependence
"Manufacturing, Durable Goods",0.814,INDSTRY,depression,anxiety
"Manufacturing, Nondurable Goods",0.7976,INDSTRY,depression,anxiety
"Transportation, Communications, Utilities",0.8412,INDSTRY,depression,anxiety
Retail Trade,0.7052,INDSTRY,depression,anxiety
"Finance, Insurance, Real Estate",0.8181,INDSTRY,depression,anxiety
Services,0.9094,INDSTRY,depression,anxiety
Wholesale,0.6413,INDSTRY,depression,anxiety
"Oil & Gas Extraction, Mining",0.856,INDSTRY,depression,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,depression,anxiety
Construction,0.8531,INDSTRY,depression,anxiety
Salary Non-union,0.5521,EECLASS,depression,anxiety
Salary Union,0.6274,EECLASS,depression,anxiety
Salary Other,0.7565,EECLASS,depression,anxiety
Hourly Non-union,0.7296,EECLASS,depression,anxiety
Hourly Union,0.8315,EECLASS,depression,anxiety
Hourly Other,0.8609,EECLASS,depression,anxiety
Non-union,0.7288,EECLASS,depression,anxiety
