STATE,INDSTRY,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,"Oil & Gas Extraction, Mining",15,11536504,51710,0.13,0.2901
Ohio,"Manufacturing, Durable Goods",765,11536504,51710,6.6311,14.794
Ohio,"Manufacturing, Nondurable Goods",80,11536504,51710,0.6935,1.5471
Ohio,"Transportation, Communications, Utilities",164,11536504,51710,1.4216,3.1715
Ohio,Retail Trade,55,11536504,51710,0.4767,1.0636
Ohio,"Finance, Insurance, Real Estate",176,11536504,51710,1.5256,3.4036
Ohio,Services,417,11536504,51710,3.6146,8.0642
Ohio,Wholesale,1,11536504,51710,0.0087,0.0193
Ohio,"Agriculture, Forestry, Fishing",0,11536504,51710,0,0
Ohio,Construction,0,11536504,51710,0,0
Arkansas,"Manufacturing, Durable Goods",42,2915918,6972,1.4404,6.0241
Arkansas,"Manufacturing, Nondurable Goods",51,2915918,6972,1.749,7.315
Arkansas,"Transportation, Communications, Utilities",41,2915918,6972,1.4061,5.8807
Arkansas,Retail Trade,6,2915918,6972,0.2058,0.8606
Arkansas,"Finance, Insurance, Real Estate",12,2915918,6972,0.4115,1.7212
Arkansas,Services,13,2915918,6972,0.4458,1.8646
Arkansas,Wholesale,1,2915918,6972,0.0343,0.1434
Arkansas,"Oil & Gas Extraction, Mining",0,2915918,6972,0,0
Arkansas,"Agriculture, Forestry, Fishing",0,2915918,6972,0,0
Arkansas,Construction,0,2915918,6972,0,0
New York,"Oil & Gas Extraction, Mining",1,19378102,38153,0.0052,0.0262
New York,"Manufacturing, Durable Goods",203,19378102,38153,1.0476,5.3207
New York,"Manufacturing, Nondurable Goods",44,19378102,38153,0.2271,1.1533
New York,"Transportation, Communications, Utilities",219,19378102,38153,1.1301,5.74
New York,Retail Trade,50,19378102,38153,0.258,1.3105
New York,"Finance, Insurance, Real Estate",166,19378102,38153,0.8566,4.3509
New York,Services,63,19378102,38153,0.3251,1.6512
New York,Wholesale,2,19378102,38153,0.0103,0.0524
New York,"Agriculture, Forestry, Fishing",0,19378102,38153,0,0
New York,Construction,0,19378102,38153,0,0
Pennsylvania,"Oil & Gas Extraction, Mining",1,12702379,29461,0.0079,0.0339
Pennsylvania,"Manufacturing, Durable Goods",155,12702379,29461,1.2202,5.2612
Pennsylvania,"Manufacturing, Nondurable Goods",123,12702379,29461,0.9683,4.175
Pennsylvania,"Transportation, Communications, Utilities",252,12702379,29461,1.9839,8.5537
Pennsylvania,Retail Trade,79,12702379,29461,0.6219,2.6815
Pennsylvania,"Finance, Insurance, Real Estate",131,12702379,29461,1.0313,4.4466
Pennsylvania,Services,77,12702379,29461,0.6062,2.6136
Pennsylvania,Wholesale,1,12702379,29461,0.0079,0.0339
Pennsylvania,"Agriculture, Forestry, Fishing",0,12702379,29461,0,0
Pennsylvania,Construction,0,12702379,29461,0,0
Georgia,"Oil & Gas Extraction, Mining",1,9687653,68782,0.0103,0.0145
Georgia,"Manufacturing, Durable Goods",166,9687653,68782,1.7135,2.4134
Georgia,"Manufacturing, Nondurable Goods",85,9687653,68782,0.8774,1.2358
Georgia,"Transportation, Communications, Utilities",224,9687653,68782,2.3122,3.2567
Georgia,Retail Trade,44,9687653,68782,0.4542,0.6397
Georgia,"Finance, Insurance, Real Estate",71,9687653,68782,0.7329,1.0322
Georgia,Services,171,9687653,68782,1.7651,2.4861
Georgia,Wholesale,4,9687653,68782,0.0413,0.0582
Georgia,"Agriculture, Forestry, Fishing",0,9687653,68782,0,0
Georgia,Construction,0,9687653,68782,0,0
Indiana,"Oil & Gas Extraction, Mining",6,6483802,20266,0.0925,0.2961
Indiana,"Manufacturing, Durable Goods",405,6483802,20266,6.2463,19.9842
Indiana,"Manufacturing, Nondurable Goods",33,6483802,20266,0.509,1.6283
Indiana,"Transportation, Communications, Utilities",96,6483802,20266,1.4806,4.737
Indiana,Retail Trade,41,6483802,20266,0.6323,2.0231
Indiana,"Finance, Insurance, Real Estate",34,6483802,20266,0.5244,1.6777
Indiana,Services,60,6483802,20266,0.9254,2.9606
Indiana,Wholesale,1,6483802,20266,0.0154,0.0493
Indiana,"Agriculture, Forestry, Fishing",0,6483802,20266,0,0
Indiana,Construction,0,6483802,20266,0,0
Illinois,"Oil & Gas Extraction, Mining",4,12830632,36586,0.0312,0.1093
Illinois,"Manufacturing, Durable Goods",230,12830632,36586,1.7926,6.2866
Illinois,"Manufacturing, Nondurable Goods",108,12830632,36586,0.8417,2.9519
Illinois,"Transportation, Communications, Utilities",241,12830632,36586,1.8783,6.5872
Illinois,Retail Trade,58,12830632,36586,0.452,1.5853
Illinois,"Finance, Insurance, Real Estate",176,12830632,36586,1.3717,4.8106
Illinois,Services,71,12830632,36586,0.5534,1.9406
Illinois,Wholesale,5,12830632,36586,0.039,0.1367
Illinois,"Agriculture, Forestry, Fishing",0,12830632,36586,0,0
Illinois,Construction,0,12830632,36586,0,0
Louisiana,"Oil & Gas Extraction, Mining",18,4533372,9513,0.3971,1.8921
Louisiana,"Manufacturing, Durable Goods",66,4533372,9513,1.4559,6.9379
Louisiana,"Manufacturing, Nondurable Goods",24,4533372,9513,0.5294,2.5229
Louisiana,"Transportation, Communications, Utilities",32,4533372,9513,0.7059,3.3638
Louisiana,Retail Trade,11,4533372,9513,0.2426,1.1563
Louisiana,"Finance, Insurance, Real Estate",27,4533372,9513,0.5956,2.8382
Louisiana,Services,21,4533372,9513,0.4632,2.2075
Louisiana,Wholesale,1,4533372,9513,0.0221,0.1051
Louisiana,"Agriculture, Forestry, Fishing",0,4533372,9513,0,0
Louisiana,Construction,0,4533372,9513,0,0
