STATE,EESTATU,CASES,CENSUSPOP,DS_POP,CS_RATE,DS_RATE
Ohio,Salary Non-union,639,11536504,51710,5.5389,12.3574
Ohio,Salary Union,47,11536504,51710,0.4074,0.9089
Ohio,Salary Other,282,11536504,51710,2.4444,5.4535
Ohio,Hourly Non-union,66,11536504,51710,0.5721,1.2763
Ohio,Hourly Other,23,11536504,51710,0.1994,0.4448
Ohio,Non-union,5,11536504,51710,0.0433,0.0967
Ohio,Union,27,11536504,51710,0.234,0.5221
Ohio,Unknown,95,11536504,51710,0.8235,1.8372
Arkansas,Salary Non-union,58,2915918,6972,1.9891,8.319
Arkansas,Salary Union,1,2915918,6972,0.0343,0.1434
Arkansas,Salary Other,8,2915918,6972,0.2744,1.1474
Arkansas,Hourly Non-union,3,2915918,6972,0.1029,0.4303
Arkansas,Hourly Other,1,2915918,6972,0.0343,0.1434
Arkansas,Non-union,2,2915918,6972,0.0686,0.2869
Arkansas,Unknown,6,2915918,6972,0.2058,0.8606
New York,Salary Non-union,382,19378102,38153,1.9713,10.0123
New York,Salary Union,10,19378102,38153,0.0516,0.2621
New York,Salary Other,87,19378102,38153,0.449,2.2803
New York,Hourly Non-union,13,19378102,38153,0.0671,0.3407
New York,Hourly Union,2,19378102,38153,0.0103,0.0524
New York,Hourly Other,18,19378102,38153,0.0929,0.4718
New York,Non-union,10,19378102,38153,0.0516,0.2621
New York,Union,7,19378102,38153,0.0361,0.1835
New York,Unknown,45,19378102,38153,0.2322,1.1795
Pennsylvania,Salary Non-union,356,12702379,29461,2.8026,12.0838
Pennsylvania,Salary Union,14,12702379,29461,0.1102,0.4752
Pennsylvania,Salary Other,53,12702379,29461,0.4172,1.799
Pennsylvania,Hourly Non-union,13,12702379,29461,0.1023,0.4413
Pennsylvania,Hourly Union,1,12702379,29461,0.0079,0.0339
Pennsylvania,Hourly Other,20,12702379,29461,0.1575,0.6789
Pennsylvania,Non-union,12,12702379,29461,0.0945,0.4073
Pennsylvania,Union,2,12702379,29461,0.0157,0.0679
Pennsylvania,Unknown,42,12702379,29461,0.3306,1.4256
Georgia,Salary Non-union,723,9687653,68782,7.4631,10.5115
Georgia,Salary Union,10,9687653,68782,0.1032,0.1454
Georgia,Salary Other,119,9687653,68782,1.2284,1.7301
Georgia,Hourly Non-union,15,9687653,68782,0.1548,0.2181
Georgia,Hourly Union,2,9687653,68782,0.0206,0.0291
Georgia,Hourly Other,19,9687653,68782,0.1961,0.2762
Georgia,Non-union,5,9687653,68782,0.0516,0.0727
Georgia,Union,8,9687653,68782,0.0826,0.1163
Georgia,Unknown,41,9687653,68782,0.4232,0.5961
Indiana,Salary Non-union,226,6483802,20266,3.4856,11.1517
Indiana,Salary Union,9,6483802,20266,0.1388,0.4441
Indiana,Salary Other,114,6483802,20266,1.7582,5.6252
Indiana,Hourly Non-union,27,6483802,20266,0.4164,1.3323
Indiana,Hourly Other,3,6483802,20266,0.0463,0.148
Indiana,Non-union,3,6483802,20266,0.0463,0.148
Indiana,Union,11,6483802,20266,0.1697,0.5428
Indiana,Unknown,14,6483802,20266,0.2159,0.6908
Illinois,Salary Non-union,442,12830632,36586,3.4449,12.0811
Illinois,Salary Union,19,12830632,36586,0.1481,0.5193
Illinois,Salary Other,93,12830632,36586,0.7248,2.542
Illinois,Hourly Non-union,21,12830632,36586,0.1637,0.574
Illinois,Hourly Union,1,12830632,36586,0.0078,0.0273
Illinois,Hourly Other,15,12830632,36586,0.1169,0.41
Illinois,Non-union,7,12830632,36586,0.0546,0.1913
Illinois,Union,9,12830632,36586,0.0701,0.246
Illinois,Unknown,56,12830632,36586,0.4365,1.5306
Louisiana,Salary Non-union,106,4533372,9513,2.3382,11.1426
Louisiana,Salary Union,3,4533372,9513,0.0662,0.3154
Louisiana,Salary Other,23,4533372,9513,0.5073,2.4177
Louisiana,Hourly Non-union,5,4533372,9513,0.1103,0.5256
Louisiana,Hourly Union,3,4533372,9513,0.0662,0.3154
Louisiana,Hourly Other,5,4533372,9513,0.1103,0.5256
Louisiana,Non-union,1,4533372,9513,0.0221,0.1051
Louisiana,Unknown,11,4533372,9513,0.2426,1.1563
Maryland,Salary Non-union,171,5773552,13274,2.9618,12.8823
Maryland,Salary Union,5,5773552,13274,0.0866,0.3767
Maryland,Salary Other,28,5773552,13274,0.485,2.1094
Maryland,Hourly Non-union,15,5773552,13274,0.2598,1.13
Maryland,Hourly Other,5,5773552,13274,0.0866,0.3767
Maryland,Non-union,4,5773552,13274,0.0693,0.3013
Maryland,Union,1,5773552,13274,0.0173,0.0753
Maryland,Unknown,13,5773552,13274,0.2252,0.9794
Texas,Salary Non-union,881,25145561,86419,3.5036,10.1945
Texas,Salary Union,28,25145561,86419,0.1114,0.324
Texas,Salary Other,78,25145561,86419,0.3102,0.9026
Texas,Hourly Non-union,13,25145561,86419,0.0517,0.1504
Texas,Hourly Union,7,25145561,86419,0.0278,0.081
Texas,Hourly Other,25,25145561,86419,0.0994,0.2893
Texas,Non-union,17,25145561,86419,0.0676,0.1967
Texas,Union,12,25145561,86419,0.0477,0.1389
Texas,Unknown,108,25145561,86419,0.4295,1.2497
Florida,Salary Non-union,563,18801310,46533,2.9945,12.0989
Florida,Salary Union,19,18801310,46533,0.1011,0.4083
Florida,Salary Other,105,18801310,46533,0.5585,2.2565
Florida,Hourly Non-union,25,18801310,46533,0.133,0.5373
Florida,Hourly Union,4,18801310,46533,0.0213,0.086
Florida,Hourly Other,31,18801310,46533,0.1649,0.6662
Florida,Non-union,10,18801310,46533,0.0532,0.2149
Florida,Union,5,18801310,46533,0.0266,0.1075
Florida,Unknown,62,18801310,46533,0.3298,1.3324
Oklahoma,Salary Non-union,73,3751351,8554,1.946,8.534
Oklahoma,Salary Union,2,3751351,8554,0.0533,0.2338
Oklahoma,Salary Other,21,3751351,8554,0.5598,2.455
Oklahoma,Hourly Non-union,6,3751351,8554,0.1599,0.7014
Oklahoma,Hourly Union,2,3751351,8554,0.0533,0.2338
Oklahoma,Hourly Other,4,3751351,8554,0.1066,0.4676
Oklahoma,Non-union,2,3751351,8554,0.0533,0.2338
Oklahoma,Unknown,6,3751351,8554,0.1599,0.7014
Iowa,Salary Non-union,95,3046355,7809,3.1185,12.1655
Iowa,Salary Union,1,3046355,7809,0.0328,0.1281
Iowa,Salary Other,7,3046355,7809,0.2298,0.8964
Iowa,Hourly Non-union,2,3046355,7809,0.0657,0.2561
Iowa,Hourly Union,1,3046355,7809,0.0328,0.1281
Iowa,Hourly Other,3,3046355,7809,0.0985,0.3842
Iowa,Non-union,1,3046355,7809,0.0328,0.1281
Iowa,Unknown,8,3046355,7809,0.2626,1.0245
California,Salary Non-union,2001,37253956,110781,5.3712,18.0627
California,Salary Union,14,37253956,110781,0.0376,0.1264
California,Salary Other,85,37253956,110781,0.2282,0.7673
California,Hourly Non-union,14,37253956,110781,0.0376,0.1264
California,Hourly Union,395,37253956,110781,1.0603,3.5656
California,Hourly Other,37,37253956,110781,0.0993,0.334
California,Non-union,7,37253956,110781,0.0188,0.0632
California,Union,5,37253956,110781,0.0134,0.0451
California,Unknown,96,37253956,110781,0.2577,0.8666
Wisconsin,Salary Non-union,152,5686986,11819,2.6728,12.8606
Wisconsin,Salary Union,1,5686986,11819,0.0176,0.0846
Wisconsin,Salary Other,29,5686986,11819,0.5099,2.4537
Wisconsin,Hourly Non-union,5,5686986,11819,0.0879,0.423
Wisconsin,Hourly Other,7,5686986,11819,0.1231,0.5923
Wisconsin,Non-union,4,5686986,11819,0.0703,0.3384
Wisconsin,Union,3,5686986,11819,0.0528,0.2538
Wisconsin,Unknown,12,5686986,11819,0.211,1.0153
Michigan,Salary Non-union,801,9883640,60017,8.1043,13.3462
Michigan,Salary Union,18,9883640,60017,0.1821,0.2999
Michigan,Salary Other,392,9883640,60017,3.9662,6.5315
Michigan,Hourly Non-union,139,9883640,60017,1.4064,2.316
Michigan,Hourly Union,2,9883640,60017,0.0202,0.0333
Michigan,Hourly Other,26,9883640,60017,0.2631,0.4332
Michigan,Non-union,12,9883640,60017,0.1214,0.1999
Michigan,Union,44,9883640,60017,0.4452,0.7331
Michigan,Unknown,34,9883640,60017,0.344,0.5665
Mississippi,Salary Non-union,94,2967297,17188,3.1679,5.4689
Mississippi,Salary Union,1,2967297,17188,0.0337,0.0582
Mississippi,Salary Other,6,2967297,17188,0.2022,0.3491
Mississippi,Hourly Non-union,5,2967297,17188,0.1685,0.2909
Mississippi,Hourly Union,1,2967297,17188,0.0337,0.0582
Mississippi,Hourly Other,2,2967297,17188,0.0674,0.1164
Mississippi,Non-union,1,2967297,17188,0.0337,0.0582
Mississippi,Union,1,2967297,17188,0.0337,0.0582
Mississippi,Unknown,8,2967297,17188,0.2696,0.4654
Maine,Salary Non-union,19,1328361,2387,1.4303,7.9598
Maine,Salary Union,2,1328361,2387,0.1506,0.8379
Maine,Salary Other,3,1328361,2387,0.2258,1.2568
Maine,Non-union,1,1328361,2387,0.0753,0.4189
Maine,Union,1,1328361,2387,0.0753,0.4189
Maine,Unknown,2,1328361,2387,0.1506,0.8379
Nevada,Salary Non-union,65,2700551,7302,2.4069,8.9017
Nevada,Salary Union,2,2700551,7302,0.0741,0.2739
Nevada,Salary Other,6,2700551,7302,0.2222,0.8217
