STATE,INDSTRY,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,"Manufacturing, Durable Goods",125,4779736,5730,2.6152,21.815
Alabama,"Manufacturing, Nondurable Goods",47,4779736,5730,0.9833,8.2024
Alabama,"Transportation, Communications, Utilities",91,4779736,5730,1.9039,15.8813
Alabama,Retail Trade,14,4779736,5730,0.2929,2.4433
Alabama,"Finance, Insurance, Real Estate",23,4779736,5730,0.4812,4.014
Alabama,Services,27,4779736,5730,0.5649,4.712
Alabama,Wholesale,2,4779736,5730,0.0418,0.349
Alabama,"Oil & Gas Extraction, Mining",0,4779736,5730,0,0
Alabama,"Agriculture, Forestry, Fishing",0,4779736,5730,0,0
Alabama,Construction,0,4779736,5730,0,0
Alaska,"Oil & Gas Extraction, Mining",3,710231,257,0.4224,11.6732
Alaska,"Manufacturing, Durable Goods",2,710231,257,0.2816,7.7821
Alaska,"Manufacturing, Nondurable Goods",3,710231,257,0.4224,11.6732
Alaska,"Transportation, Communications, Utilities",2,710231,257,0.2816,7.7821
Alaska,Retail Trade,4,710231,257,0.5632,15.5642
Alaska,"Finance, Insurance, Real Estate",1,710231,257,0.1408,3.8911
Alaska,Services,21,710231,257,2.9568,81.7121
Alaska,"Agriculture, Forestry, Fishing",0,710231,257,0,0
Alaska,Construction,0,710231,257,0,0
Alaska,Wholesale,0,710231,257,0,0
Arizona,"Oil & Gas Extraction, Mining",11,6392017,7456,0.1721,1.4753
Arizona,"Manufacturing, Durable Goods",148,6392017,7456,2.3154,19.8498
Arizona,"Manufacturing, Nondurable Goods",28,6392017,7456,0.438,3.7554
Arizona,"Transportation, Communications, Utilities",66,6392017,7456,1.0325,8.8519
Arizona,Retail Trade,45,6392017,7456,0.704,6.0354
Arizona,"Finance, Insurance, Real Estate",179,6392017,7456,2.8004,24.0075
Arizona,Services,348,6392017,7456,5.4443,46.6738
Arizona,Construction,2,6392017,7456,0.0313,0.2682
Arizona,Wholesale,2,6392017,7456,0.0313,0.2682
Arizona,"Agriculture, Forestry, Fishing",0,6392017,7456,0,0
Arkansas,"Oil & Gas Extraction, Mining",1,2915918,2052,0.0343,0.4873
Arkansas,"Manufacturing, Durable Goods",56,2915918,2052,1.9205,27.2904
Arkansas,"Manufacturing, Nondurable Goods",71,2915918,2052,2.4349,34.6004
Arkansas,"Transportation, Communications, Utilities",46,2915918,2052,1.5775,22.4172
Arkansas,Retail Trade,9,2915918,2052,0.3087,4.386
Arkansas,"Finance, Insurance, Real Estate",11,2915918,2052,0.3772,5.3606
Arkansas,Services,12,2915918,2052,0.4115,5.848
Arkansas,Wholesale,1,2915918,2052,0.0343,0.4873
Arkansas,"Agriculture, Forestry, Fishing",0,2915918,2052,0,0
Arkansas,Construction,0,2915918,2052,0,0
California,"Oil & Gas Extraction, Mining",10,37253956,40228,0.0268,0.2486
California,"Manufacturing, Durable Goods",321,37253956,40228,0.8617,7.9795
California,"Manufacturing, Nondurable Goods",115,37253956,40228,0.3087,2.8587
California,"Transportation, Communications, Utilities",342,37253956,40228,0.918,8.5015
California,Retail Trade,110,37253956,40228,0.2953,2.7344
California,"Finance, Insurance, Real Estate",242,37253956,40228,0.6496,6.0157
California,Services,889,37253956,40228,2.3863,22.099
California,Construction,3,37253956,40228,0.0081,0.0746
California,Wholesale,5,37253956,40228,0.0134,0.1243
California,"Agriculture, Forestry, Fishing",0,37253956,40228,0,0
Colorado,"Oil & Gas Extraction, Mining",7,5029196,3198,0.1392,2.1889
Colorado,"Manufacturing, Durable Goods",103,5029196,3198,2.048,32.2076
Colorado,"Manufacturing, Nondurable Goods",28,5029196,3198,0.5567,8.7555
Colorado,"Transportation, Communications, Utilities",123,5029196,3198,2.4457,38.4615
