STATE,INDSTRY,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,"Oil & Gas Extraction, Mining",2,4779736,5730,0.0418,0.349
Alabama,"Manufacturing, Durable Goods",275,4779736,5730,5.7535,47.993
Alabama,"Manufacturing, Nondurable Goods",79,4779736,5730,1.6528,13.7871
Alabama,"Transportation, Communications, Utilities",196,4779736,5730,4.1006,34.2059
Alabama,Retail Trade,29,4779736,5730,0.6067,5.0611
Alabama,"Finance, Insurance, Real Estate",37,4779736,5730,0.7741,6.4572
Alabama,Services,83,4779736,5730,1.7365,14.4852
Alabama,Construction,1,4779736,5730,0.0209,0.1745
Alabama,Wholesale,4,4779736,5730,0.0837,0.6981
Alabama,"Agriculture, Forestry, Fishing",0,4779736,5730,0,0
Alaska,"Oil & Gas Extraction, Mining",2,710231,257,0.2816,7.7821
Alaska,"Manufacturing, Durable Goods",2,710231,257,0.2816,7.7821
Alaska,"Manufacturing, Nondurable Goods",3,710231,257,0.4224,11.6732
Alaska,"Transportation, Communications, Utilities",5,710231,257,0.704,19.4553
Alaska,Retail Trade,13,710231,257,1.8304,50.5837
Alaska,Services,32,710231,257,4.5056,124.5136
Alaska,"Finance, Insurance, Real Estate",0,710231,257,0,0
Alaska,"Agriculture, Forestry, Fishing",0,710231,257,0,0
Alaska,Construction,0,710231,257,0,0
Alaska,Wholesale,0,710231,257,0,0
Arizona,"Oil & Gas Extraction, Mining",67,6392017,7456,1.0482,8.9861
Arizona,"Manufacturing, Durable Goods",211,6392017,7456,3.301,28.2994
Arizona,"Manufacturing, Nondurable Goods",31,6392017,7456,0.485,4.1577
Arizona,"Transportation, Communications, Utilities",131,6392017,7456,2.0494,17.5697
Arizona,Retail Trade,81,6392017,7456,1.2672,10.8637
Arizona,"Finance, Insurance, Real Estate",229,6392017,7456,3.5826,30.7135
Arizona,Services,520,6392017,7456,8.1351,69.7425
Arizona,Construction,1,6392017,7456,0.0156,0.1341
Arizona,Wholesale,5,6392017,7456,0.0782,0.6706
Arizona,"Agriculture, Forestry, Fishing",0,6392017,7456,0,0
Arkansas,"Oil & Gas Extraction, Mining",4,2915918,2052,0.1372,1.9493
Arkansas,"Manufacturing, Durable Goods",108,2915918,2052,3.7038,52.6316
Arkansas,"Manufacturing, Nondurable Goods",173,2915918,2052,5.933,84.308
Arkansas,"Transportation, Communications, Utilities",73,2915918,2052,2.5035,35.575
Arkansas,Retail Trade,17,2915918,2052,0.583,8.2846
Arkansas,"Finance, Insurance, Real Estate",16,2915918,2052,0.5487,7.7973
Arkansas,Services,29,2915918,2052,0.9945,14.1326
Arkansas,Wholesale,1,2915918,2052,0.0343,0.4873
Arkansas,"Agriculture, Forestry, Fishing",0,2915918,2052,0,0
Arkansas,Construction,0,2915918,2052,0,0
California,"Oil & Gas Extraction, Mining",15,37253956,40228,0.0403,0.3729
California,"Manufacturing, Durable Goods",455,37253956,40228,1.2213,11.3105
California,"Manufacturing, Nondurable Goods",152,37253956,40228,0.408,3.7785
California,"Transportation, Communications, Utilities",422,37253956,40228,1.1328,10.4902
California,Retail Trade,138,37253956,40228,0.3704,3.4304
California,"Finance, Insurance, Real Estate",231,37253956,40228,0.6201,5.7423
California,Services,951,37253956,40228,2.5527,23.6403
California,Construction,6,37253956,40228,0.0161,0.1491
California,Wholesale,10,37253956,40228,0.0268,0.2486
California,"Agriculture, Forestry, Fishing",0,37253956,40228,0,0
Colorado,"Oil & Gas Extraction, Mining",15,5029196,3198,0.2983,4.6904
Colorado,"Manufacturing, Durable Goods",96,5029196,3198,1.9089,30.0188
Colorado,"Manufacturing, Nondurable Goods",39,5029196,3198,0.7755,12.1951
Colorado,"Transportation, Communications, Utilities",94,5029196,3198,1.8691,29.3934
Colorado,Retail Trade,46,5029196,3198,0.9147,14.384
Colorado,"Finance, Insurance, Real Estate",41,5029196,3198,0.8152,12.8205
Colorado,Services,91,5029196,3198,1.8094,28.4553
Colorado,Wholesale,2,5029196,3198,0.0398,0.6254
Colorado,"Agriculture, Forestry, Fishing",0,5029196,3198,0,0
Colorado,Construction,0,5029196,3198,0,0
Connecticut,"Oil & Gas Extraction, Mining",2,3574097,3431,0.056,0.5829
Connecticut,"Manufacturing, Durable Goods",183,3574097,3431,5.1202,53.3372
Connecticut,"Manufacturing, Nondurable Goods",28,3574097,3431,0.7834,8.1609
Connecticut,"Transportation, Communications, Utilities",127,3574097,3431,3.5533,37.0154
Connecticut,Retail Trade,46,3574097,3431,1.287,13.4072
Connecticut,"Finance, Insurance, Real Estate",54,3574097,3431,1.5109,15.7389
Connecticut,Services,70,3574097,3431,1.9585,20.4022
Connecticut,"Agriculture, Forestry, Fishing",4,3574097,3431,0.1119,1.1658
Connecticut,Construction,13,3574097,3431,0.3637,3.789
Connecticut,Wholesale,12,3574097,3431,0.3357,3.4975
Delaware,"Oil & Gas Extraction, Mining",4,897934,2088,0.4455,1.9157
Delaware,"Manufacturing, Durable Goods",96,897934,2088,10.6912,45.977
Delaware,"Manufacturing, Nondurable Goods",14,897934,2088,1.5591,6.705
Delaware,"Transportation, Communications, Utilities",38,897934,2088,4.2319,18.1992
Delaware,Retail Trade,11,897934,2088,1.225,5.2682
Delaware,"Finance, Insurance, Real Estate",49,897934,2088,5.457,23.4674
Delaware,Services,8,897934,2088,0.8909,3.8314
Delaware,"Agriculture, Forestry, Fishing",0,897934,2088,0,0
Delaware,Construction,0,897934,2088,0,0
Delaware,Wholesale,0,897934,2088,0,0
Florida,"Oil & Gas Extraction, Mining",2,18801310,14966,0.0106,0.1336
Florida,"Manufacturing, Durable Goods",493,18801310,14966,2.6222,32.9413
Florida,"Manufacturing, Nondurable Goods",177,18801310,14966,0.9414,11.8268
Florida,"Transportation, Communications, Utilities",666,18801310,14966,3.5423,44.5009
Florida,Retail Trade,201,18801310,14966,1.0691,13.4304
Florida,"Finance, Insurance, Real Estate",382,18801310,14966,2.0318,25.5245
Florida,Services,627,18801310,14966,3.3349,41.895
Florida,Wholesale,9,18801310,14966,0.0479,0.6014
Florida,"Agriculture, Forestry, Fishing",0,18801310,14966,0,0
Florida,Construction,0,18801310,14966,0,0
Georgia,"Oil & Gas Extraction, Mining",4,9687653,22416,0.0413,0.1784
Georgia,"Manufacturing, Durable Goods",414,9687653,22416,4.2735,18.469
Georgia,"Manufacturing, Nondurable Goods",252,9687653,22416,2.6012,11.242
Georgia,"Transportation, Communications, Utilities",515,9687653,22416,5.316,22.9747
Georgia,Retail Trade,96,9687653,22416,0.991,4.2827
Georgia,"Finance, Insurance, Real Estate",156,9687653,22416,1.6103,6.9593
Georgia,Services,339,9687653,22416,3.4993,15.1231
Georgia,Wholesale,11,9687653,22416,0.1135,0.4907
Georgia,"Agriculture, Forestry, Fishing",0,9687653,22416,0,0
Georgia,Construction,0,9687653,22416,0,0
Hawaii,"Oil & Gas Extraction, Mining",1,1360301,85,0.0735,11.7647
Hawaii,"Manufacturing, Durable Goods",3,1360301,85,0.2205,35.2941
Hawaii,"Manufacturing, Nondurable Goods",1,1360301,85,0.0735,11.7647
Hawaii,"Transportation, Communications, Utilities",4,1360301,85,0.2941,47.0588
Hawaii,"Finance, Insurance, Real Estate",1,1360301,85,0.0735,11.7647
Hawaii,Services,2,1360301,85,0.147,23.5294
Hawaii,Retail Trade,0,1360301,85,0,0
Hawaii,"Agriculture, Forestry, Fishing",0,1360301,85,0,0
Hawaii,Construction,0,1360301,85,0,0
Hawaii,Wholesale,0,1360301,85,0,0
