STATE,EESTATU,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Salary Non-union,31,4779736,5730,0.6486,5.4101
Alabama,Salary Other,9,4779736,5730,0.1883,1.5707
Alabama,Hourly Non-union,3,4779736,5730,0.0628,0.5236
Alabama,Hourly Other,1,4779736,5730,0.0209,0.1745
Alabama,Salary Union,0,4779736,5730,0,0
Alabama,Hourly Union,0,4779736,5730,0,0
Alabama,Non-union,0,4779736,5730,0,0
Alabama,Union,0,4779736,5730,0,0
Alabama,Unknown,0,4779736,5730,0,0
Alaska,Salary Union,1,710231,257,0.1408,3.8911
Alaska,Salary Non-union,0,710231,257,0,0
Alaska,Salary Other,0,710231,257,0,0
Alaska,Hourly Non-union,0,710231,257,0,0
Alaska,Hourly Union,0,710231,257,0,0
Alaska,Hourly Other,0,710231,257,0,0
Alaska,Non-union,0,710231,257,0,0
Alaska,Union,0,710231,257,0,0
Alaska,Unknown,0,710231,257,0,0
Arizona,Salary Non-union,18,6392017,7456,0.2816,2.4142
Arizona,Salary Other,2,6392017,7456,0.0313,0.2682
Arizona,Hourly Non-union,1,6392017,7456,0.0156,0.1341
Arizona,Hourly Union,1,6392017,7456,0.0156,0.1341
Arizona,Hourly Other,2,6392017,7456,0.0313,0.2682
Arizona,Non-union,1,6392017,7456,0.0156,0.1341
Arizona,Union,1,6392017,7456,0.0156,0.1341
Arizona,Unknown,2,6392017,7456,0.0313,0.2682
Arizona,Salary Union,0,6392017,7456,0,0
Arkansas,Salary Non-union,15,2915918,2052,0.5144,7.3099
Arkansas,Salary Other,2,2915918,2052,0.0686,0.9747
Arkansas,Hourly Non-union,1,2915918,2052,0.0343,0.4873
Arkansas,Non-union,3,2915918,2052,0.1029,1.462
Arkansas,Union,1,2915918,2052,0.0343,0.4873
Arkansas,Salary Union,0,2915918,2052,0,0
Arkansas,Hourly Union,0,2915918,2052,0,0
Arkansas,Hourly Other,0,2915918,2052,0,0
Arkansas,Unknown,0,2915918,2052,0,0
California,Salary Non-union,338,37253956,40228,0.9073,8.4021
California,Salary Union,8,37253956,40228,0.0215,0.1989
California,Salary Other,28,37253956,40228,0.0752,0.696
California,Hourly Non-union,8,37253956,40228,0.0215,0.1989
California,Hourly Union,107,37253956,40228,0.2872,2.6598
California,Hourly Other,14,37253956,40228,0.0376,0.348
California,Non-union,10,37253956,40228,0.0268,0.2486
California,Union,2,37253956,40228,0.0054,0.0497
California,Unknown,20,37253956,40228,0.0537,0.4972
Colorado,Salary Non-union,35,5029196,3198,0.6959,10.9443
Colorado,Hourly Non-union,1,5029196,3198,0.0199,0.3127
Colorado,Hourly Union,1,5029196,3198,0.0199,0.3127
Colorado,Hourly Other,1,5029196,3198,0.0199,0.3127
Colorado,Unknown,2,5029196,3198,0.0398,0.6254
Colorado,Salary Union,0,5029196,3198,0,0
Colorado,Salary Other,0,5029196,3198,0,0
Colorado,Non-union,0,5029196,3198,0,0
Colorado,Union,0,5029196,3198,0,0
Connecticut,Salary Non-union,26,3574097,3431,0.7275,7.578
Connecticut,Salary Other,3,3574097,3431,0.0839,0.8744
Connecticut,Hourly Other,1,3574097,3431,0.028,0.2915
Connecticut,Non-union,1,3574097,3431,0.028,0.2915
Connecticut,Unknown,2,3574097,3431,0.056,0.5829
Connecticut,Salary Union,0,3574097,3431,0,0
Connecticut,Hourly Non-union,0,3574097,3431,0,0
Connecticut,Hourly Union,0,3574097,3431,0,0
Connecticut,Union,0,3574097,3431,0,0
Delaware,Salary Non-union,15,897934,2088,1.6705,7.1839
Delaware,Salary Other,9,897934,2088,1.0023,4.3103
Delaware,Hourly Non-union,2,897934,2088,0.2227,0.9579
Delaware,Non-union,2,897934,2088,0.2227,0.9579
Delaware,Salary Union,0,897934,2088,0,0
Delaware,Hourly Union,0,897934,2088,0,0
Delaware,Hourly Other,0,897934,2088,0,0
Delaware,Union,0,897934,2088,0,0
Delaware,Unknown,0,897934,2088,0,0
Florida,Salary Non-union,83,18801310,14966,0.4415,5.5459
Florida,Salary Union,1,18801310,14966,0.0053,0.0668
Florida,Salary Other,12,18801310,14966,0.0638,0.8018
Florida,Hourly Non-union,6,18801310,14966,0.0319,0.4009
Florida,Hourly Union,1,18801310,14966,0.0053,0.0668
Florida,Hourly Other,6,18801310,14966,0.0319,0.4009
Florida,Non-union,5,18801310,14966,0.0266,0.3341
Florida,Union,1,18801310,14966,0.0053,0.0668
Florida,Unknown,4,18801310,14966,0.0213,0.2673
Georgia,Salary Non-union,121,9687653,22416,1.249,5.3979
Georgia,Salary Union,1,9687653,22416,0.0103,0.0446
Georgia,Salary Other,21,9687653,22416,0.2168,0.9368
Georgia,Hourly Non-union,6,9687653,22416,0.0619,0.2677
Georgia,Hourly Union,1,9687653,22416,0.0103,0.0446
Georgia,Hourly Other,6,9687653,22416,0.0619,0.2677
Georgia,Non-union,4,9687653,22416,0.0413,0.1784
Georgia,Union,5,9687653,22416,0.0516,0.2231
Georgia,Unknown,7,9687653,22416,0.0723,0.3123
Hawaii,Salary Non-union,0,1360301,85,0,0
Hawaii,Salary Union,0,1360301,85,0,0
Hawaii,Salary Other,0,1360301,85,0,0
Hawaii,Hourly Non-union,0,1360301,85,0,0
Hawaii,Hourly Union,0,1360301,85,0,0
Hawaii,Hourly Other,0,1360301,85,0,0
Hawaii,Non-union,0,1360301,85,0,0
Hawaii,Union,0,1360301,85,0,0
Hawaii,Unknown,0,1360301,85,0,0
Idaho,Salary Non-union,6,1567582,569,0.3828,10.5448
Idaho,Hourly Union,4,1567582,569,0.2552,7.0299
Idaho,Salary Union,0,1567582,569,0,0
Idaho,Salary Other,0,1567582,569,0,0
Idaho,Hourly Non-union,0,1567582,569,0,0
Idaho,Hourly Other,0,1567582,569,0,0
Idaho,Non-union,0,1567582,569,0,0
Idaho,Union,0,1567582,569,0,0
Idaho,Unknown,0,1567582,569,0,0
Illinois,Salary Non-union,50,12830632,10670,0.3897,4.686
Illinois,Salary Union,3,12830632,10670,0.0234,0.2812
Illinois,Salary Other,11,12830632,10670,0.0857,1.0309
Illinois,Hourly Non-union,5,12830632,10670,0.039,0.4686
Illinois,Hourly Other,3,12830632,10670,0.0234,0.2812
Illinois,Non-union,1,12830632,10670,0.0078,0.0937
Illinois,Union,1,12830632,10670,0.0078,0.0937
Illinois,Unknown,4,12830632,10670,0.0312,0.3749
Illinois,Hourly Union,0,12830632,10670,0,0
Indiana,Salary Non-union,30,6483802,7465,0.4627,4.0188
Indiana,Salary Other,24,6483802,7465,0.3702,3.215
Indiana,Hourly Non-union,9,6483802,7465,0.1388,1.2056
Indiana,Hourly Other,1,6483802,7465,0.0154,0.134
Indiana,Non-union,1,6483802,7465,0.0154,0.134
Indiana,Union,1,6483802,7465,0.0154,0.134
Indiana,Unknown,5,6483802,7465,0.0771,0.6698
Indiana,Salary Union,0,6483802,7465,0,0
Indiana,Hourly Union,0,6483802,7465,0,0
Iowa,Salary Non-union,15,3046355,1738,0.4924,8.6306
Iowa,Salary Other,3,3046355,1738,0.0985,1.7261
Iowa,Unknown,4,3046355,1738,0.1313,2.3015
Iowa,Salary Union,0,3046355,1738,0,0
Iowa,Hourly Non-union,0,3046355,1738,0,0
Iowa,Hourly Union,0,3046355,1738,0,0
Iowa,Hourly Other,0,3046355,1738,0,0
Iowa,Non-union,0,3046355,1738,0,0
Iowa,Union,0,3046355,1738,0,0
Kansas,Salary Non-union,6,2853118,2026,0.2103,2.9615
Kansas,Salary Other,2,2853118,2026,0.0701,0.9872
Kansas,Hourly Non-union,1,2853118,2026,0.035,0.4936
Kansas,Non-union,1,2853118,2026,0.035,0.4936
Kansas,Salary Union,0,2853118,2026,0,0
Kansas,Hourly Union,0,2853118,2026,0,0
Kansas,Hourly Other,0,2853118,2026,0,0
Kansas,Union,0,2853118,2026,0,0
Kansas,Unknown,0,2853118,2026,0,0
Kentucky,Salary Non-union,14,4339367,3823,0.3226,3.662
Kentucky,Salary Other,8,4339367,3823,0.1844,2.0926
Kentucky,Hourly Non-union,1,4339367,3823,0.023,0.2616
Kentucky,Union,2,4339367,3823,0.0461,0.5231
Kentucky,Salary Union,0,4339367,3823,0,0
Kentucky,Hourly Union,0,4339367,3823,0,0
Kentucky,Hourly Other,0,4339367,3823,0,0
Kentucky,Non-union,0,4339367,3823,0,0
Kentucky,Unknown,0,4339367,3823,0,0
Louisiana,Salary Non-union,15,4533372,2935,0.3309,5.1107
Louisiana,Salary Other,2,4533372,2935,0.0441,0.6814
Louisiana,Hourly Non-union,4,4533372,2935,0.0882,1.3629
Louisiana,Salary Union,0,4533372,2935,0,0
Louisiana,Hourly Union,0,4533372,2935,0,0
Louisiana,Hourly Other,0,4533372,2935,0,0
Louisiana,Non-union,0,4533372,2935,0,0
Louisiana,Union,0,4533372,2935,0,0
Louisiana,Unknown,0,4533372,2935,0,0
Maine,Salary Non-union,3,1328361,548,0.2258,5.4745
Maine,Hourly Non-union,1,1328361,548,0.0753,1.8248
