STATE,EESTATU,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Active Full Time,410,4779736,5730,8.5779,71.5532
Alabama,Active Part Time or Seasonal,4,4779736,5730,0.0837,0.6981
Alabama,Early Retiree,68,4779736,5730,1.4227,11.8674
Alabama,Medicare Eligible Retiree,26,4779736,5730,0.544,4.5375
Alabama,Retiree (status unknown),1,4779736,5730,0.0209,0.1745
Alabama,COBRA Continuee,16,4779736,5730,0.3347,2.7923
Alabama,Long Term Disability,7,4779736,5730,0.1465,1.2216
Alabama,Surviving Spouse/Depend.,5,4779736,5730,0.1046,0.8726
Alabama,Other/Unknown,23,4779736,5730,0.4812,4.014
Alaska,Active Full Time,33,710231,257,4.6464,128.4047
Alaska,Active Part Time or Seasonal,2,710231,257,0.2816,7.7821
Alaska,Long Term Disability,1,710231,257,0.1408,3.8911
Alaska,Other/Unknown,1,710231,257,0.1408,3.8911
Alaska,Early Retiree,0,710231,257,0,0
Alaska,Medicare Eligible Retiree,0,710231,257,0,0
Alaska,Retiree (status unknown),0,710231,257,0,0
Alaska,COBRA Continuee,0,710231,257,0,0
Alaska,Surviving Spouse/Depend.,0,710231,257,0,0
Arizona,Active Full Time,697,6392017,7456,10.9042,93.4818
Arizona,Active Part Time or Seasonal,13,6392017,7456,0.2034,1.7436
Arizona,Early Retiree,34,6392017,7456,0.5319,4.5601
Arizona,Medicare Eligible Retiree,8,6392017,7456,0.1252,1.073
Arizona,Retiree (status unknown),20,6392017,7456,0.3129,2.6824
Arizona,COBRA Continuee,29,6392017,7456,0.4537,3.8895
Arizona,Long Term Disability,7,6392017,7456,0.1095,0.9388
Arizona,Surviving Spouse/Depend.,5,6392017,7456,0.0782,0.6706
Arizona,Other/Unknown,54,6392017,7456,0.8448,7.2425
Arkansas,Active Full Time,155,2915918,2052,5.3157,75.5361
Arkansas,Active Part Time or Seasonal,4,2915918,2052,0.1372,1.9493
Arkansas,Early Retiree,9,2915918,2052,0.3087,4.386
Arkansas,Medicare Eligible Retiree,4,2915918,2052,0.1372,1.9493
Arkansas,Retiree (status unknown),2,2915918,2052,0.0686,0.9747
Arkansas,COBRA Continuee,7,2915918,2052,0.2401,3.4113
Arkansas,Long Term Disability,3,2915918,2052,0.1029,1.462
Arkansas,Surviving Spouse/Depend.,2,2915918,2052,0.0686,0.9747
Arkansas,Other/Unknown,25,2915918,2052,0.8574,12.1832
California,Active Full Time,4108,37253956,40228,11.027,102.1179
California,Active Part Time or Seasonal,35,37253956,40228,0.0939,0.87
California,Early Retiree,170,37253956,40228,0.4563,4.2259
California,Medicare Eligible Retiree,46,37253956,40228,0.1235,1.1435
California,Retiree (status unknown),1020,37253956,40228,2.738,25.3555
California,COBRA Continuee,108,37253956,40228,0.2899,2.6847
California,Long Term Disability,26,37253956,40228,0.0698,0.6463
California,Surviving Spouse/Depend.,13,37253956,40228,0.0349,0.3232
California,Other/Unknown,283,37253956,40228,0.7597,7.0349
Colorado,Active Full Time,399,5029196,3198,7.9337,124.7655
Colorado,Active Part Time or Seasonal,10,5029196,3198,0.1988,3.127
Colorado,Early Retiree,24,5029196,3198,0.4772,7.5047
Colorado,Medicare Eligible Retiree,2,5029196,3198,0.0398,0.6254
Colorado,Retiree (status unknown),6,5029196,3198,0.1193,1.8762
Colorado,COBRA Continuee,18,5029196,3198,0.3579,5.6285
Colorado,Long Term Disability,4,5029196,3198,0.0795,1.2508
Colorado,Other/Unknown,41,5029196,3198,0.8152,12.8205
Colorado,Surviving Spouse/Depend.,0,5029196,3198,0,0
Connecticut,Active Full Time,296,3574097,3431,8.2818,86.2722
Connecticut,Active Part Time or Seasonal,2,3574097,3431,0.056,0.5829
Connecticut,Early Retiree,30,3574097,3431,0.8394,8.7438
Connecticut,Medicare Eligible Retiree,3,3574097,3431,0.0839,0.8744
Connecticut,COBRA Continuee,20,3574097,3431,0.5596,5.8292
Connecticut,Long Term Disability,3,3574097,3431,0.0839,0.8744
Connecticut,Surviving Spouse/Depend.,2,3574097,3431,0.056,0.5829
Connecticut,Other/Unknown,22,3574097,3431,0.6155,6.4121
Connecticut,Retiree (status unknown),0,3574097,3431,0,0
Delaware,Active Full Time,210,897934,2088,23.387,100.57470000000001
Delaware,Active Part Time or Seasonal,3,897934,2088,0.3341,1.4368
Delaware,Early Retiree,68,897934,2088,7.5729,32.567
Delaware,Medicare Eligible Retiree,5,897934,2088,0.5568,2.3946
Delaware,Retiree (status unknown),1,897934,2088,0.1114,0.4789
Delaware,COBRA Continuee,6,897934,2088,0.6682,2.8736
Delaware,Long Term Disability,2,897934,2088,0.2227,0.9579
Delaware,Surviving Spouse/Depend.,7,897934,2088,0.7796,3.3525
Delaware,Other/Unknown,15,897934,2088,1.6705,7.1839
Florida,Active Full Time,1204,18801310,14966,6.4038,80.449
Florida,Active Part Time or Seasonal,55,18801310,14966,0.2925,3.675
Florida,Early Retiree,171,18801310,14966,0.9095,11.4259
Florida,Medicare Eligible Retiree,48,18801310,14966,0.2553,3.2073
Florida,Retiree (status unknown),8,18801310,14966,0.0426,0.5345
Florida,COBRA Continuee,84,18801310,14966,0.4468,5.6127
Florida,Long Term Disability,42,18801310,14966,0.2234,2.8064
Florida,Surviving Spouse/Depend.,20,18801310,14966,0.1064,1.3364
Florida,Other/Unknown,133,18801310,14966,0.7074,8.8868
Georgia,Active Full Time,1780,9687653,22416,18.3739,79.4076
Georgia,Active Part Time or Seasonal,25,9687653,22416,0.2581,1.1153
Georgia,Early Retiree,280,9687653,22416,2.8903,12.4911
Georgia,Medicare Eligible Retiree,22,9687653,22416,0.2271,0.9814
Georgia,Retiree (status unknown),3,9687653,22416,0.031,0.1338
Georgia,COBRA Continuee,66,9687653,22416,0.6813,2.9443
Georgia,Long Term Disability,23,9687653,22416,0.2374,1.0261
Georgia,Surviving Spouse/Depend.,11,9687653,22416,0.1135,0.4907
Georgia,Other/Unknown,142,9687653,22416,1.4658,6.3348
Hawaii,Active Full Time,4,1360301,85,0.2941,47.0588
Hawaii,Active Part Time or Seasonal,1,1360301,85,0.0735,11.7647
Hawaii,Medicare Eligible Retiree,1,1360301,85,0.0735,11.7647
Hawaii,Other/Unknown,1,1360301,85,0.0735,11.7647
Hawaii,Early Retiree,0,1360301,85,0,0
Hawaii,Retiree (status unknown),0,1360301,85,0,0
Hawaii,COBRA Continuee,0,1360301,85,0,0
Hawaii,Long Term Disability,0,1360301,85,0,0
Hawaii,Surviving Spouse/Depend.,0,1360301,85,0,0
Idaho,Active Full Time,74,1567582,569,4.7206,130.0527
Idaho,Active Part Time or Seasonal,16,1567582,569,1.0207,28.1195
Idaho,Early Retiree,8,1567582,569,0.5103,14.0598
Idaho,Retiree (status unknown),3,1567582,569,0.1914,5.2724
Idaho,COBRA Continuee,4,1567582,569,0.2552,7.0299
Idaho,Long Term Disability,4,1567582,569,0.2552,7.0299
Idaho,Other/Unknown,9,1567582,569,0.5741,15.8172
Idaho,Medicare Eligible Retiree,0,1567582,569,0,0
Idaho,Surviving Spouse/Depend.,0,1567582,569,0,0
Illinois,Active Full Time,891,12830632,10670,6.9443,83.5052
Illinois,Active Part Time or Seasonal,26,12830632,10670,0.2026,2.4367
Illinois,Early Retiree,153,12830632,10670,1.1925,14.3393
Illinois,Medicare Eligible Retiree,27,12830632,10670,0.2104,2.5305
Illinois,Retiree (status unknown),2,12830632,10670,0.0156,0.1874
Illinois,COBRA Continuee,50,12830632,10670,0.3897,4.686
Illinois,Long Term Disability,15,12830632,10670,0.1169,1.4058
Illinois,Surviving Spouse/Depend.,6,12830632,10670,0.0468,0.5623
Illinois,Other/Unknown,135,12830632,10670,1.0522,12.6523
Indiana,Active Full Time,520,6483802,7465,8.02,69.6584
Indiana,Active Part Time or Seasonal,24,6483802,7465,0.3702,3.215
Indiana,Early Retiree,187,6483802,7465,2.8841,25.0502
Indiana,Medicare Eligible Retiree,62,6483802,7465,0.9562,8.3054
Indiana,Retiree (status unknown),1,6483802,7465,0.0154,0.134
Indiana,COBRA Continuee,11,6483802,7465,0.1697,1.4735
Indiana,Long Term Disability,5,6483802,7465,0.0771,0.6698
Indiana,Surviving Spouse/Depend.,28,6483802,7465,0.4318,3.7508
Indiana,Other/Unknown,53,6483802,7465,0.8174,7.0998
Iowa,Active Full Time,237,3046355,1738,7.7798,136.3636
Iowa,Active Part Time or Seasonal,7,3046355,1738,0.2298,4.0276
Iowa,Early Retiree,13,3046355,1738,0.4267,7.4799
Iowa,Medicare Eligible Retiree,2,3046355,1738,0.0657,1.1507
Iowa,Retiree (status unknown),3,3046355,1738,0.0985,1.7261
Iowa,COBRA Continuee,9,3046355,1738,0.2954,5.1784
Iowa,Long Term Disability,3,3046355,1738,0.0985,1.7261
Iowa,Other/Unknown,38,3046355,1738,1.2474,21.8642
Iowa,Surviving Spouse/Depend.,0,3046355,1738,0,0
Kansas,Active Full Time,187,2853118,2026,6.5542,92.3001
Kansas,Active Part Time or Seasonal,2,2853118,2026,0.0701,0.9872
Kansas,Early Retiree,29,2853118,2026,1.0164,14.3139
Kansas,Medicare Eligible Retiree,8,2853118,2026,0.2804,3.9487
Kansas,Retiree (status unknown),2,2853118,2026,0.0701,0.9872
Kansas,COBRA Continuee,7,2853118,2026,0.2453,3.4551
Kansas,Long Term Disability,3,2853118,2026,0.1051,1.4808
Kansas,Surviving Spouse/Depend.,2,2853118,2026,0.0701,0.9872
Kansas,Other/Unknown,13,2853118,2026,0.4556,6.4166
Kentucky,Active Full Time,278,4339367,3823,6.4065,72.7178
Kentucky,Active Part Time or Seasonal,4,4339367,3823,0.0922,1.0463
Kentucky,Early Retiree,59,4339367,3823,1.3596,15.4329
Kentucky,Medicare Eligible Retiree,14,4339367,3823,0.3226,3.662
Kentucky,Retiree (status unknown),2,4339367,3823,0.0461,0.5231
Kentucky,COBRA Continuee,10,4339367,3823,0.2304,2.6157
Kentucky,Long Term Disability,7,4339367,3823,0.1613,1.831
Kentucky,Surviving Spouse/Depend.,5,4339367,3823,0.1152,1.3079
Kentucky,Other/Unknown,14,4339367,3823,0.3226,3.662
Louisiana,Active Full Time,226,4533372,2935,4.9853,77.0017
Louisiana,Active Part Time or Seasonal,7,4533372,2935,0.1544,2.385
Louisiana,Early Retiree,45,4533372,2935,0.9926,15.3322
Louisiana,Medicare Eligible Retiree,4,4533372,2935,0.0882,1.3629
Louisiana,Retiree (status unknown),3,4533372,2935,0.0662,1.0221
Louisiana,COBRA Continuee,15,4533372,2935,0.3309,5.1107
Louisiana,Long Term Disability,6,4533372,2935,0.1324,2.0443
Louisiana,Other/Unknown,32,4533372,2935,0.7059,10.9029
Louisiana,Surviving Spouse/Depend.,0,4533372,2935,0,0
Maine,Active Full Time,43,1328361,548,3.2371,78.4672
Maine,Active Part Time or Seasonal,2,1328361,548,0.1506,3.6496
Maine,Early Retiree,6,1328361,548,0.4517,10.9489
Maine,COBRA Continuee,1,1328361,548,0.0753,1.8248
Maine,Long Term Disability,2,1328361,548,0.1506,3.6496
Maine,Other/Unknown,5,1328361,548,0.3764,9.1241
Maine,Medicare Eligible Retiree,0,1328361,548,0,0
Maine,Retiree (status unknown),0,1328361,548,0,0
Maine,Surviving Spouse/Depend.,0,1328361,548,0,0
Maryland,Active Full Time,369,5773552,4495,6.3912,82.0912
Maryland,Active Part Time or Seasonal,8,5773552,4495,0.1386,1.7798
Maryland,Early Retiree,47,5773552,4495,0.8141,10.4561
Maryland,Medicare Eligible Retiree,15,5773552,4495,0.2598,3.337
Maryland,COBRA Continuee,14,5773552,4495,0.2425,3.1146
Maryland,Long Term Disability,7,5773552,4495,0.1212,1.5573
