STATE,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,188,4779736,5730,3.9333,32.8098
Alaska,20,710231,257,2.816,77.821
Arizona,494,6392017,7456,7.7284,66.2554
Arkansas,75,2915918,2052,2.5721,36.5497
California,2492,37253956,40228,6.6892,61.9469
Colorado,178,5029196,3198,3.5393,55.6598
Connecticut,186,3574097,3431,5.2041,54.2116
Delaware,108,897934,2088,12.0276,51.7241
Florida,789,18801310,14966,4.1965,52.7195
Georgia,897,9687653,22416,9.2592,40.0161
Hawaii,3,1360301,85,0.2205,35.2941
Idaho,36,1567582,569,2.2965,63.2689
Illinois,624,12830632,10670,4.8634,58.4817
Indiana,389,6483802,7465,5.9996,52.1098
Iowa,109,3046355,1738,3.578,62.7158
Kansas,83,2853118,2026,2.9091,40.9674
Kentucky,207,4339367,3823,4.7703,54.146
Louisiana,149,4533372,2935,3.2867,50.7666
Maine,28,1328361,548,2.1079,51.0949
Maryland,232,5773552,4495,4.0183,51.6129
Massachusetts,388,6547629,5945,5.9258,65.2649
Michigan,1385,9883640,23231,14.0131,59.6186
Minnesota,191,5303925,2775,3.6011,68.8288
Mississippi,115,2967297,4220,3.8756,27.2512
Missouri,487,5988927,8960,8.1317,54.3527
Montana,22,989415,290,2.2235,75.8621
Nebraska,53,1826341,988,2.902,53.6437
Nevada,94,2700551,2031,3.4808,46.2826
New Hampshire,57,1316470,735,4.3298,77.551
New Jersey,367,8791894,6690,4.1743,54.858
New Mexico,28,2059179,508,1.3598,55.1181
New York,555,19378102,9491,2.8641,58.4765
North Carolina,271,9535483,5321,2.842,50.9303
North Dakota,26,672591,264,3.8656,98.4848
Ohio,1113,11536504,18596,9.6476,59.8516
Oklahoma,110,3751351,2496,2.9323,44.0705
Oregon,190,3831074,3046,4.9594,62.3769
Pennsylvania,487,12702379,8980,3.8339,54.2316
Rhode Island,53,1052567,795,5.0353,66.6667
South Carolina,112,4625364,2399,2.4214,46.6861
South Dakota,25,814180,360,3.0706,69.4444
Tennessee,444,6346105,10788,6.9964,41.1568
Texas,1121,25145561,24161,4.458,46.3971
Utah,286,2763885,2598,10.3478,110.0847
Vermont,8,625741,188,1.2785,42.5532
Virginia,245,8001024,4923,3.0621,49.7664
Washington,128,6724540,3538,1.9035,36.1786
West Virginia,84,1852994,1245,4.5332,67.4699
Wisconsin,203,5686986,3168,3.5696,64.0783
Wyoming,11,563626,179,1.9516,61.4525
