STATE,EESTATU,CASES,CS_POP,DS_POP,CS_RATE,DS_RATE
Alabama,Active Full Time,6,4779736,5730,0.1255,1.0471
Alabama,Active Part Time or Seasonal,1,4779736,5730,0.0209,0.1745
Alabama,Early Retiree,1,4779736,5730,0.0209,0.1745
Alabama,Medicare Eligible Retiree,0,4779736,5730,0,0
Alabama,Retiree (status unknown),0,4779736,5730,0,0
Alabama,COBRA Continuee,0,4779736,5730,0,0
Alabama,Long Term Disability,0,4779736,5730,0,0
Alabama,Surviving Spouse/Depend.,0,4779736,5730,0,0
Alabama,Other/Unknown,0,4779736,5730,0,0
Alaska,Active Full Time,1,710231,257,0.1408,3.8911
Alaska,Active Part Time or Seasonal,0,710231,257,0,0
Alaska,Early Retiree,0,710231,257,0,0
Alaska,Medicare Eligible Retiree,0,710231,257,0,0
Alaska,Retiree (status unknown),0,710231,257,0,0
Alaska,COBRA Continuee,0,710231,257,0,0
Alaska,Long Term Disability,0,710231,257,0,0
Alaska,Surviving Spouse/Depend.,0,710231,257,0,0
Alaska,Other/Unknown,0,710231,257,0,0
Arizona,Active Full Time,19,6392017,7456,0.2972,2.5483
Arizona,Active Part Time or Seasonal,1,6392017,7456,0.0156,0.1341
Arizona,Early Retiree,1,6392017,7456,0.0156,0.1341
Arizona,Retiree (status unknown),1,6392017,7456,0.0156,0.1341
Arizona,Other/Unknown,3,6392017,7456,0.0469,0.4024
Arizona,Medicare Eligible Retiree,0,6392017,7456,0,0
Arizona,COBRA Continuee,0,6392017,7456,0,0
Arizona,Long Term Disability,0,6392017,7456,0,0
Arizona,Surviving Spouse/Depend.,0,6392017,7456,0,0
Arkansas,Active Full Time,5,2915918,2052,0.1715,2.4366
Arkansas,Active Part Time or Seasonal,2,2915918,2052,0.0686,0.9747
Arkansas,Retiree (status unknown),1,2915918,2052,0.0343,0.4873
Arkansas,Surviving Spouse/Depend.,1,2915918,2052,0.0343,0.4873
Arkansas,Early Retiree,0,2915918,2052,0,0
Arkansas,Medicare Eligible Retiree,0,2915918,2052,0,0
Arkansas,COBRA Continuee,0,2915918,2052,0,0
Arkansas,Long Term Disability,0,2915918,2052,0,0
